name,phone,website,email,address,city,state,zip,source_state
"Adventure ABA, LLC",(623) 693-2954,https://www.adventureaba.com/,contact@adventureaba.com,6232 N 7th St STE 100,Phoenix,AZ,85014,ALL_STATES
Ally Pediatric Therapy,(602) 606-2237,https://allypediatric.com/,Info@allypediatric.com,10595 N Tatum Blvd # E146,Paradise Valley,AZ,85253,ALL_STATES
Angels and Autism LLC,(520) 886-6537,http://angelsinautismllc.com/,angelsinautismaz@gmail.com,4885 S Houghton Rd 1,Tucson,AZ,85730,ALL_STATES
Arion Care Solutions,(480) 404-0242,,,3200 N. Dobson Rd.,,AZ,,ALL_STATES
Arizona Autism,(480) 488-3946,https://arizonaautism.com/,,7120 E Sahuaro Dr,Scottsdale,AZ,85254,ALL_STATES
Arizona Autism Charter School,(602) 882-5544,http://www.autismcharter.org/,,4433 N 7th St,Phoenix,AZ,85014,ALL_STATES
ARIZONA AUTISM COALITION,850446417,https://www.azautism.org/,,4802 E Ray Rd 23,Phoenix,AZ,85044,ALL_STATES
Arizona Autism Support,(623) 242-2441,,,Mesa,Mesa,AZ,,ALL_STATES
Arizona Autism United,(602) 773-5773,https://azaunited.org/,info@azaunited.org,5025 E Washington St 212,Phoenix,AZ,85034,ALL_STATES
Arizona Center for Autism,(520) 300-6103,http://www.arizonacenterforautism.org/,info@arizonacenterforautism.org,5870 E 14th St,Tucson,AZ,85711,ALL_STATES
"Arizona Child Psychology, PLLC (Children, Adolescents, Parents)",(602) 824-8804,http://www.arizonachildpsychology.com/,drsct@arizonachildpsychology.com,10210 N 32nd St 213,Phoenix,AZ,85028,ALL_STATES
Ascend Behavior Partners,(720) 961-3764,,,3420 E Shea Blvd.,,AZ,,ALL_STATES
Aurora Day School,(623) 209-1000,https://catapultlearning.com/schools/aurora-day-school/,,8155 W Thunderbird Rd,Peoria,AZ,85381,ALL_STATES
Autism Academy for Education & Development Tempe Campus,(480) 240-9255,https://www.aaed.org/,info@aaed.org,7541 S Willow Dr,Tempe,AZ,85283,ALL_STATES
Autism Academy for Education and Development Peoria Campus,(480) 240-9255,https://www.aaed.org/,info@aaed.org,6810 W Thunderbird Rd,Peoria,AZ,85381,ALL_STATES
Autism Society,(520) 770-1541,http://www.as-az.org/,info@as-az.org,2600 N Wyatt Dr,Tucson,AZ,85712,ALL_STATES
Autism Spectrum Therapies at Evans Elementary School,(866) 727-8274,http://www.autismtherapies.com/,,4525 S College Ave,Tempe,AZ,85282,ALL_STATES
AZ ASSIST,(480) 779-0899,http://azassist.com/,,2150 E Southern Ave,Tempe,AZ,85204,ALL_STATES
Beyond Autism,(602) 541-9743,https://www.beyond-autism.com/,info@beyond-autism.com,6508 E Cactus Rd,Scottsdale,AZ,85254,ALL_STATES
Bierman ABA Autism Centers,(800) 931-8113,,,1729 W Greentree Dr,,AZ,,ALL_STATES
Bierman ABA Autism Centers,(800) 931-8113,,,8444 North 90th Street,,AZ,,ALL_STATES
Brilliant Minds,(815) 508-5303,,,,,AZ,,ALL_STATES
Center For Autism And Related Disorders,(602) 325-2485,https://www.centerforautism.com/,info@centerforautism.com,2400 W Dunlap Ave Suite 100,Phoenix,AZ,85021,ALL_STATES
Centria Healthcare,(855) 772-8847,,,2720 E Thomas Road,,AZ,,ALL_STATES
Debbie Mace,(928) 821-0422,,bendebbiemace@yahoo.com,1350 wagon trail,Camp Verde,AZ,,ALL_STATES
Developmental Enrichment Centers (DEC),(602) 314-4214,http://dec-az.org/,,16809 N 53rd Ave 2,Glendale,AZ,85306,ALL_STATES
First Place AZ,(602) 733-6525,http://www.firstplaceaz.org/,info@firstplaceaz.org,717 E Maryland Ave 110,Phoenix,AZ,85014,ALL_STATES
Freedom Behavior Consulting,(520) 481-0059,,,2985 W. Dakota Vista Way,,AZ,,ALL_STATES
Kyo,(877) 264-6747,https://kyocare.com/our-services/sign-up/,info@kyocare.com,"""3707 E Southern Ave	Floors 1 and 2	Mesa	AZ	85206""",Mesa,AZ,85206,ALL_STATES
Lauren's Institute for Education,(480) 621-8361,,,1305 South Gilbert Road,,AZ,,ALL_STATES
Lauren's Institute for Education,(480) 621-8361,,,1305 S. Gilbert Rd.,,AZ,,ALL_STATES
Laurens Institute For Education,(480) 621-8361,http://laurensinstitute.org/,,1305 S Gilbert Rd,Gilbert,AZ,85296,ALL_STATES
Lexington Life Academy,(480) 630-1507,http://lexingtonservices.com/,,9132 E Southern Ave,Mesa,AZ,85209,ALL_STATES
MeBe,(619) 606-5858,,,2150 S. Country Club Dr.,,AZ,,ALL_STATES
New Way Academy,(602) 629-6850,https://newwayacademy.org/,,5048 E Oak St,Phoenix,AZ,85008,ALL_STATES
Positive ABA,(480) 361-1025,,,2160 E Fry Blvd.,,AZ,,ALL_STATES
Positive ABA,(480) 361-1025,,,5424 E Broadway Rd.,,AZ,,ALL_STATES
Positive ABA,(480) 361-1025,,,18521 E. Queen Creek Rd,,AZ,,ALL_STATES
Positive ABA LLC,(480) 361-1025,https://www.positiveaba.org/,info@positiveaba.org,18521 E Queen Creek Rd,Queen Creek,AZ,85142,ALL_STATES
Raising Special Kids,(602) 242-4366,http://www.raisingspecialkids.org/,info@raisingspecialkids.org,5025 Washington St 204,Phoenix,AZ,85034,ALL_STATES
Sami's Angels ABA Services,(480) 248-1664,www.SamisAngelsABA.com,Admin@samisangelsaba.com,East Valley of Phoenix,Gilbert,AZ,,ALL_STATES
SARRC's Colonel Harland D. Sanders Center for Autism Studies,(602) 340-8717,https://www.autismcenter.org/,sarrc@autismcenter.org,2225 N 16th Street Phoenix,Phoenix,AZ,85006,ALL_STATES
SARRC's Sybil B. Harrington Campus for Exceptional Children,(602) 340-8717,https://www.autismcenter.org/,sarrc@autismcenter.org,300 N 18th Street Phoenix,Phoenix,AZ,85006,ALL_STATES
SARRC's Vocational & Life Skills Academy,(602) 340-8717,https://www.autismcenter.org/,sarrc@autismcenter.org,2225 N 16th Street Phoenix,Phoenix,AZ,85006,ALL_STATES
SEEDs for Autism,(602) 253-4471,https://www.seedsforautism.org/,info@seedsforautism.org,3420 S 7th St,Phoenix,AZ,85040,ALL_STATES
Sonoran Learning and Behavioral Services,(602) 882-4238,https://www.sonoranlbs.com/,admin@sonoranlbs.com,34225 N 27th Dr Bldg 4B,Phoenix,AZ,85085,ALL_STATES
Southwest Autism Research & Resource Center,(602) 340-8717,https://www.autismcenter.org/,sarrc@autismcenter.org,300 N 18th St,Phoenix,AZ,85006,ALL_STATES
Southwest Behavioral & Health Services,(602) 265-8338,http://www.sbhservices.org/locations-contact-info,info@sbhservices.org,3450 N 3rd St,Phoenix,AZ,85012,ALL_STATES
St. Dominic Savio Academy,(480) 659-5456,http://www.stdomsavio.com/contact.html,info@stdomsavio.com,550 West Warner Road,Chandler,AZ,85225,ALL_STATES
Strong Beginnings,(928) 782-1338,https://strongbeginnings-aba.com/,hello@strongbeginnings-aba.com,2741 S 8th Ave ste c,Yuma,AZ,85364,ALL_STATES
The Autism Society Of Southern Arizona - Santa Cruz,(520) 860-5402,,,13 Pioneer Ct,Nogales,AZ,85621,ALL_STATES
The Children's Center,(623) 915-0345,http://thechildrenscenteraz.org/,admin@ccnsaz.org,5430 W Glenn Dr,Glendale,AZ,85301,ALL_STATES
"Thrive Autism Services, PLLC",(480) 888-5287,https://www.thrive-autism.com/,admin@thrive-autism.com,70 S Val Vista Dr,Gilbert,AZ,85296,ALL_STATES
Thriving Minds Academy,(480) 806-8000,www.thrivingmindsaz.com,info@thrivingmindsaz.com,850 S Ironwood Dr Ste #110,,AZ,85120,ALL_STATES
Trumpet Behavioral Health,(602) 535-8341,https://tbh.com/,,1166 S Gilbert Rd #106,Gilbert,AZ,85296,ALL_STATES
Tucson Alliance For Autism,(520) 319-5857,http://www.tucsonallianceforautism.com,,1002 N Country Club Rd,Tucson,AZ,85716,ALL_STATES
Young Mind Center,(602) 237-6653,http://www.doctorwood.org/youngmindcenter.html,office@youngmindcenter.org,51 E Monterey Way,Phoenix,AZ,85012,ALL_STATES
A Happy Family Behavioral Services,(818) 330-5328,https://www.ahappyfam.com/,,16000 Ventura Blvd Suite 1103,Los Angeles,CA,91436,ALL_STATES
A Is For Apple,(877) 991-0009,http://aisforapple.com/,intake@aisforapple.com,1479 Saratoga Avenue,San Jose,CA,,ALL_STATES
ABA & Verbal Behavior Group,(619) 281-6067,,,3934 Murphy Canyon Rd.,,CA,,ALL_STATES
Abby Twyman,(949) 756-8799,https://www.tbh.com/,,Orange County,Newport Beach,CA,92660,ALL_STATES
About Behavior Consulting,(714) 380-1914,,,201 S Anita Dr,,CA,,ALL_STATES
ABS Kids,(801) 935-4171,,,123 9600 Center Ave.,,CA,,ALL_STATES
ABS Kids,(801) 935-4171,,,32326 Clinton Keith Road,,CA,,ALL_STATES
ABS Kids,(801) 935-4171,,,2421 Portola Road,,CA,,ALL_STATES
ABS Kids,(801) 935-4171,,,2820 Camino Del Rio South,,CA,,ALL_STATES
Acuity Behavior Solutions,(714) 696-2862,https://www.acuitybehaviorsolutions.com/,info@acuitybehaviorsolutions.com,1820 W Orangewood Ave Suite 110,Orange,CA,92868,ALL_STATES
"Adamant Behavioral Services, Inc.",(818) 330-9006,,,2233 Honolulu Avenue,,CA,,ALL_STATES
"Advance Kids, LLC",(916) 363-6103,,,9755 Lincoln Village Drive,,CA,,ALL_STATES
"Advance Kids, LLC",(916) 363-6103,,,2800 Stonecreek Drive,,CA,,ALL_STATES
Alanna Larriba,(831) 424-5565,https://www.tbh.com/,,Santa Cruz,Capitola,CA,95010,ALL_STATES
Alexandra Kane,(650) 627-8045,https://www.tbh.com/,,San Francisco Peninsula,San Bruno,CA,94066,ALL_STATES
Alexia Barnes,(949) 756-8799,https://www.tbh.com/,,Orange County,Newport Beach,CA,92660,ALL_STATES
Alice Arabian,(818) 620-2143,www.elevatedaba.com,info@elevatedaba.com,Santa Clarita,Santa Clarita,CA,,ALL_STATES
Amanda McCullough,(949) 756-8799,https://www.tbh.com/,,Orange County,Newport Beach,CA,92660,ALL_STATES
Amy Harbison,(408) 885-0805,https://www.tbh.com/,,1401 Parkmoor Ave,San Jose,CA,95126,ALL_STATES
Angelica Aguirre,(408) 885-0805,https://www.tbh.com/,,1401 Parkmoor Ave,San Jose,CA,95126,ALL_STATES
Ascend Diagnostic & Support Services,(916) 525-8866,https://www.ascendsupportservices.com/,lizzyfuller@ascendsupportservices.com,2717 Cottage Way,Sacramento,CA,95825,ALL_STATES
Ashley Langeliers,(925) 462-2281,https://www.tbh.com/,,Dublin,Dublin,CA,94568,ALL_STATES
Ashton Benedickt,(925) 462-2281,https://www.tbh.com/,,Dublin,Dublin,CA,94568,ALL_STATES
"Autism Behavior Services, Inc",(855) 581-0100,https://www.autismbehaviorservices.com/,info@autismbehaviorservices.com,14281 7th St,Victorville,CA,92395,ALL_STATES
Autism Connections,(805) 541-7130,,,4251 S. Higuera Street,,CA,,ALL_STATES
Avery Blackburn,(408) 885-0805,https://www.tbh.com/,,1401 Parkmoor Ave,San Jose,CA,95126,ALL_STATES
Bay ABA,(502) 494-8897,,,3331 Brittan Ave,,CA,,ALL_STATES
Bay ABA,(502) 494-8897,,,3130 La Selva Street,,CA,,ALL_STATES
Bay ABA,(502) 494-8897,,,1625 The Alameda,,CA,,ALL_STATES
Behavior and Education Inc,(833) 223-8326,http://baetherapy.com/,contact@baetherapy.com,1805 W Avenue K Unit MC3,Manhattan Beach,CA,93534,ALL_STATES
Behavior and Education Inc,(833) 223-8326,http://baetherapy.com/,contact@baetherapy.com,15335 Morrison Street,Sherman Oaks,CA,91403,ALL_STATES
Behavior and Education Inc,(833) 223-8326,http://baetherapy.com/,contact@baetherapy.com,10805 Holder Street,Cypress,CA,90630,ALL_STATES
Behavior and Education Inc,(833) 223-8326,http://baetherapy.com/,contact@baetherapy.com,1050 Lakes Drive,West Covina,CA,91790,ALL_STATES
"Behavior and Education, Inc.",(833) 223-8326,,,3281 E. Guasti Rd,,CA,,ALL_STATES
"Behavior and Education, Inc.",(833) 223-8326,,,2780 Skypark Drive,,CA,,ALL_STATES
"Behavior and Education, Inc.",(833) 223-8326,,,15335 Morrison Street,,CA,,ALL_STATES
"Behavior and Education, Inc.",(833) 223-8326,,,10805 Holder Street,,CA,,ALL_STATES
"Behavior and Education, Inc.",(833) 223-8326,,,190 Sierra Ct,,CA,,ALL_STATES
"Behavior and Education, Inc.",(833) 223-8326,,,15428 Civic Dr,,CA,,ALL_STATES
"Behavior and Education, Inc.",(833) 223-8326,,,1230 Rosecrans Ave,,CA,,ALL_STATES
Behavior Genius,(909) 749-5204,,,1500 S Haven Ave,,CA,,ALL_STATES
Behavior Genius,(909) 749-5204,,,12021 Jacaranda Ave.,,CA,,ALL_STATES
Behavior Genius,(909) 749-5204,,,8577 Haven Avenue,,CA,,ALL_STATES
Believing In Change,(760) 659-6574,,,110 Civic Center Dr,,CA,,ALL_STATES
Bertha Taylor,(858) 695-9444,https://www.fitsot.com/,Admin@FitsTherapy.com,9565 Waples St Suite 100,San Diego,CA,92121,ALL_STATES
Best Behavior LLC,(530) 232-0845,,,1768 West Street,,CA,,ALL_STATES
Brian Long,(650) 627-8045,https://www.tbh.com/,,San Francisco Peninsula,San Bruno,CA,94066,ALL_STATES
California Autism Center & Learning Group,(559) 492-7900,https://www.calautismcenter.org/,info@calautismcenter.org,4152 W Swift Ave STE 104,Fresno,CA,93722,ALL_STATES
California Autism Center & Learning Group,(559) 492-7900,https://www.calautismcenter.org/,info@calautismcenter.org,2517 W Shaw Ave Suite 107,Fresno,CA,93711,ALL_STATES
Catherine Miltenberger,(408) 885-0805,https://www.tbh.com/,,1401 Parkmoor Ave,San Jose,CA,95126,ALL_STATES
Celina Hernandez-Luna,(831) 424-5565,https://www.tbh.com/,,Monterey Bay,Capitola,CA,93907,ALL_STATES
Centria Healthcare,(855) 772-8847,,,E. 151 Kalmus Drive,,CA,,ALL_STATES
Chris Missias,(707) 826-0872,https://www.tbh.com/,,Humboldt,Arcata,CA,95521,ALL_STATES
Christina Gillen,(925) 462-2281,https://www.tbh.com/,,Dublin,Dublin,CA,94568,ALL_STATES
Christina Henderson,(408) 885-0805,https://www.tbh.com/,,1401 Parkmoor Ave,San Jose,CA,95126,ALL_STATES
Christina Sanders,(408) 885-0805,https://www.tbh.com/,,1401 Parkmoor Ave,San Jose,CA,95126,ALL_STATES
Christy Mandon,(650) 627-8045,https://www.tbh.com/,,San Francisco Peninsula,San Bruno,CA,94066,ALL_STATES
Comprehensive Autism Center,(951) 813-4034,https://cac.co/,,26720 Ynez Ct,Temecula,CA,92590,ALL_STATES
Cortica Advanced Neurological Therapies for Autism,(858) 304-6440,,,7090 Miratech Drive,,CA,,ALL_STATES
Cortica Advanced Neurological Therapies for Autism,(858) 304-6440,,,5870 El Camino Real,,CA,,ALL_STATES
Cortica Advanced Neurological Therapies for Autism,(858) 304-6440,,,611 N Brand Blvd,,CA,,ALL_STATES
Cortica Advanced Neurological Therapies for Autism,(858) 304-6440,,,16800 Aston St,,CA,,ALL_STATES
Cortica Advanced Neurological Therapies for Autism,(858) 304-6440,,,4000 Civic Center Dr,,CA,,ALL_STATES
Cortica Advanced Neurological Therapies for Autism,(858) 304-6440,,,7525 Metropolitan Dr,,CA,,ALL_STATES
Cortica Advanced Neurological Therapies for Autism,(858) 304-6440,,,30131 Town Center Dr,,CA,,ALL_STATES
Cortica Advanced Neurological Therapies for Autism,(858) 304-6440,,,21515 Hawthorne Blvd,,CA,,ALL_STATES
Cortica Advanced Neurological Therapies for Autism,(858) 304-6440,,,2625 Townsgate Rd,,CA,,ALL_STATES
Courtney Vinton,(925) 462-2281,https://www.tbh.com/,,Dublin,Dublin,CA,94568,ALL_STATES
Debi Kircher,(925) 462-2281,https://www.tbh.com/,,Dublin,Dublin,CA,94568,ALL_STATES
Dr Keira Moore,(442) 500-5364,https://www.moorebehaviorconsulting.com,keira@moorebehaviorconsulting.com,1633 Alapat Dr,,CA,92027,ALL_STATES
Dream Big Children's Center,(626) 472-8722,,,69930 Highway 111,,CA,,ALL_STATES
Dream Big Children's Center,(626) 472-8722,,,612 S Myrtle Ave,,CA,,ALL_STATES
Dream Big Children's Center,(626) 472-8722,,,1520 N Mountain Ave,,CA,,ALL_STATES
Dream Big Children's Center,(626) 472-8722,,,6876 Magnolia Ave.,,CA,,ALL_STATES
Dream Big Children's Center,(626) 472-8722,,,16095 Tuscola Rd.,,CA,,ALL_STATES
East Bay ABA,(510) 999-4410,http://www.eastbayaba.com/,contact@eastbayaba.com,2010 Crow Canyon Pl,San Ramon,CA,94583,ALL_STATES
Elisa Sosa,(408) 885-0805,https://www.tbh.com/,,1401 Parkmoor Ave,San Jose,CA,95126,ALL_STATES
Enrichment Intervention Family Center,(877) 360-3432,,,21900 Burbank Blvd,,CA,,ALL_STATES
ERA Behavioral Solutions,(818) 206-2442,,,3463 Foothill Blvd,,CA,,ALL_STATES
Esperanza Behavioral Health,(530) 228-4904,,,1851 Heritage Lane,,CA,,ALL_STATES
Explorer Development Center,(858) 322-9311,,,701 Palomar Airport Road,,CA,,ALL_STATES
Family First,(530) 487-7265,,,60 Independence Cir,,CA,,ALL_STATES
Foothill Child Development Services Inc.,(818) 353-3772,,,7505 Foothill Blvd,,CA,,ALL_STATES
"Genesis Behavior Center, Inc.",(877) 828-8476,,,1620 Colorado Ave,Turlock,CA,95382,ALL_STATES
Golden State Autism Centers,(916) 758-9768,https://www.gsautismcenters.com/,info@gsautismcenters.com,2035 Hurley Way SUITE 290,Sacramento,CA,95825,ALL_STATES
H.O.P.E. Consulting,(916) 863-7949,,,7949 California Avenue,,CA,,ALL_STATES
Hidden Treasures ABA Therapy Services,(323) 693-1600,https://htaba.com/,info@hiddentreasuresaba.com,6310 San Vicente Blvd Los Angeles,Los Angeles,CA,90048,ALL_STATES
HOLDING HANDS,(562) 846-4445,https://holdinghandsinc.com/,,10834 Whittier Blvd. Ste 101. Whittier,Calabasas,CA,90606,ALL_STATES
HOLDING HANDS,(818) 848-8825,https://holdinghandsinc.com/,,2101 N. Glenoaks Blvd. Burbank,Burbank,CA,91504,ALL_STATES
HOLDING HANDS,(323) 938-3434,https://holdinghandsinc.com/,,2115 Beverly Blvd. Los Angeles,Los Angeles,CA,90057,ALL_STATES
Intercare Therapy,(888) 428-3223,http://www.intercaretherapy.com/,info@intercaretherapy.com,2100 West Orangewood Ave.Orange,Orange,CA,92868,ALL_STATES
Intercare Therapy,(888) 428-3223,http://www.intercaretherapy.com/,info@intercaretherapy.com,601 University Avenue,Sacramento,CA,95825,ALL_STATES
Intercare Therapy,(888) 428-3223,http://www.intercaretherapy.com/,info@intercaretherapy.com,2934 E Garvey Ave S Suite 202,West Covina,CA,91791,ALL_STATES
Intercare Therapy,(888) 428-3223,http://www.intercaretherapy.com/,info@intercaretherapy.com,24301 Southland Drive,Hayward,CA,94545,ALL_STATES
Intercare Therapy,(888) 428-3223,http://www.intercaretherapy.com/,info@intercaretherapy.com,4221 Wilshire Blvd,Los Angeles,CA,90010,ALL_STATES
Invo Healthcare,(215) 489-8760,,,4200 Rocklin Road,,CA,,ALL_STATES
Invo Healthcare,(215) 489-8760,,,9245 Activity Road,,CA,,ALL_STATES
Invo Healthcare,(215) 489-8760,,,3978 Sorrento Valley Blvd,,CA,,ALL_STATES
Jackson Jade Therapy,(888) 808-7838,http://www.jacksonjadetherapy.com/,info@jacksonjade.com,3460 Torrance Blvd,Long Beach,CA,,ALL_STATES
Jeanna Milton,(707) 826-0872,https://www.tbh.com/,,Humboldt,Arcata,CA,95521,ALL_STATES
Jenna Aranki,(949) 756-8799,https://www.tbh.com/,,Orange County,Newport Beach,CA,92660,ALL_STATES
Jennifer Herbert,(408) 885-0805,https://www.tbh.com/,,1401 Parkmoor Ave,San Jose,CA,95126,ALL_STATES
