name,phone,website,email,location,insurance,treatmentSetting,services,languages,agesServicing,state,address,overview,treatment_settings,ages_served,services_provided,clinicians,contact_form,url
Madison Behavior Therapy,256-489-8660,https://www.madisonaba.com/,info@madisonaba.com,"475 Providence Main Street | Suite 201 Huntsville, AL 35806, Huntsville, AL 35806",,,,,,AL,,,,,,,,
MILESTONES BEHAVIOR GROUP,205-207-2066,http://www.milestonesaba.com/,,"6169 Hwy 11 Springville, AL 35146, Birmingham, AL 35146",,,,,,AL,,,,,,,,
MILESTONES BEHAVIOR GROUP,205-207-2066,http://www.milestonesaba.com/,,"6169 Hwy 11  Springville, AL 35146, Springville, AL 35146",,,,,,AL,,,,,,,,
Mitchell's Place,(205) 957-0294,,,"4778 Overton Rd, , AL",Cigna; Kaiser Permanente; Optum; Anthem (Blue Cross Blue Shield); Blue Cross and Blue Shield Association; Optum/United,Center-based,,English,2-10,AL,,,,,,,,
Mobile Bay ABA  Autism Center,251-287-2442,https://mobilebayaba.com/,INFO@MOBILEBAYABA.COM,"5550 Old Shell Rd, Mobile, AL 36608, United States, Mobile, AL 36608",,,,,,AL,,,,,,,,
Mobile Bay ABA Autism Center,251-287-2442,https://mobilebayaba.com/,INFO@MOBILEBAYABA.COM,"5550 Old Shell Rd, Mobile, AL 36608, USA, , AL 36608",,,,,,AL,,,,,,,,
Simplified Behavioral Health,(205) 362-7035,,,"203 Narrows Parkway Suite B, , AL",,Center-based,,,,AL,,,,,,,,
Simplified Behavioral Health,(205) 362-7035,,,"1976 Gadsden Hwy, , AL",,Center-based,,,,AL,,,,,,,,
Smith Group Behavioral Consulting,334-332-9077,https://www.smithgroupbc.com/,info@smithgroupbc.com,"2206 Executive Park Dr, Opelika, AL 36801, United States, Opelika, AL 36801",,,,,,AL,,,,,,,,
Southeast Alabama Autism Center,334-347-5003,http://www.southeastalabamaautismcenter.com,southeastalabamaautismcenter@gmail.com,"1247 Rucker Blvd, Suite 3, Enterprise, AL 36330, Enterprise, AL 36330",,,,,,AL,,,,,,,,
The Riley Center,256-882-2457,http://www.therileycenter.org/,,"306 Wynn Drive, Huntsville, AL 35805, Huntsville, AL 35805",,,,,,AL,,,,,,,,
Vision for Hope,(217) 585-5437,,,"5767 Cove Commons Drive SE, , AL",,Center-based; School-based,,English,,AL,,,,,,,,
BlueSprig,479-242-4480,https://www.bluesprigautism.com/,,"5704 Euper Ln Suite 100, Fort Smith, AR 72903, United States, Fort Smith, AR 72903",,,,,,AR,,,,,,,,
BlueSprig,479-957-9121,https://www.bluesprigautism.com/,,"3155 N College Ave Suite 108, Fayetteville, AR 72703, United States, Fayetteville, AR 72703",,,,,,AR,,,,,,,,
BlueSprig,479-802-4798,https://www.bluesprigautism.com/,bentonville@bluesprigpediatrics.com,"2601 N Walton Blvd, Bentonville, AR 72712, United States, Bentonville, AR 72712",,,,,,AR,,,,,,,,
Center of Behavior and Learning Transformations,870-907-9300,,,"601 S Church St, Jonesboro, AR 72401, United States, Jonesboro, AR 72401",,,,,,AR,,,,,,,,
Easterseals Arkansas,501-227-3600,,,"3920 Woodland Heights Road, , AR",Other,Center-based; School-based,Behavioral Health; Practicum,English; Spanish,2-10; 11-21,AR,,,,,,,,
"Nash Therapeutic Services, LLC.",501-500-2111,http://nashtherapy.net/,info@nashtherapy.net,"628 W Broadway St, North Little Rock, AR 72114, United States, Little Rock, AR 72114",,,,,,AR,,,,,,,,
SageWay Behavioral Health,479-318-2300,https://www.sageway.com/,info@sageway.com,"1022 Jones Rd, Springdale, AR 72762, United States, Springdale, AR 72762",,,,,,AR,,,,,,,,
Thrive Autism Solutions,479-802-4798,https://www.thriveasd.org/services/,,"2601 N Walton Bentonville, AR 72712, Bentonville, AR 72712",,,,,,AR,,,,,,,,
UP Autism Center,501-313-5973,https://www.upautismcenter.com/,info@upautismcenter.com,"1509 N Pierce St, Little Rock, AR 72207, United States, Little Rock, AR 72207",,,,,,AR,,,,,,,,
A Brighter Avenue,480-474-4173,https://abrighteravenue.com/,info@abrighteravenue.org,"4121 E Valley Auto Dr, Mesa, AZ 85206, United States, Mesa, AZ 85206",,,,,,AZ,,,,,,,,
ACES,855-357-6322,https://www.acesaba.com/,,"10320 W McDowell Rd Suite K-1136, Avondale, AZ 85392, United States, Avondale, AZ 85392",,,,,,AZ,,,,,,,,
ACES,855-357-6322,https://www.acesaba.com/,,"10320 W McDowell Rd Suite K-1136, Avondale, AZ 85392, United States, Avondale, AZ 85392",,,,,,AZ,,,,,,,,
Action Behavior Centers,480-608-5232,https://www.actionbehavior.com/,info@actionbehavior.com,"10900 N Scottsdale Rd Building 500 Suite #501, Scottsdale, AZ 85254, United States, Gilbert, AZ 85254",,,,,,AZ,,,,,,,,
Action Behavior Centers,623-207-7190,https://www.actionbehavior.com/,info@actionbehavior.com,"12725 W Indian School Rd Building D, Avondale, AZ 85392, United States, Avondale, AZ 85392",,,,,,AZ,,,,,,,,
Action Behavior Centers,623-230-4080,https://www.actionbehavior.com/,info@actionbehavior.com,"18301 N 79th Ave Building A, Suite 101, Glendale, AZ 85308, United States, Glendale, AZ 85308",,,,,,AZ,,,,,,,,
Action Behavior Centers,480-608-5210,https://www.actionbehavior.com/,info@actionbehavior.com,"5570 W Chandler Blvd Ste 3, Chandler, AZ 85226, United States, Chandler, AZ 85226",,,,,,AZ,,,,,,,,
Action Behavior Centers,480-608-5232,https://www.actionbehavior.com/,info@actionbehavior.com,"10900 N Scottsdale Rd Building 500 Suite #501, Scottsdale, AZ 85254, United States, Scottsdale, AZ 85254",,,,,,AZ,,,,,,,,
Advanced Autism Center for Treatment,(480) 773-1061,,,"4135 S. Power Rd, , AZ",,Home-based,,English,2-10; 11-21; 22+,AZ,,,,,,,,
Advanced Autism Center for Treatment,(480) 773-1061,,,"365 East Germann Rd., , AZ",,Home-based,,English,2-10; 11-21; 22+,AZ,,,,,,,,
Advanced Autism Services,602-584-9860,https://advancedautism.com/,office@advancedautism.com,"2375 E Camelback Rd Suite 600, Phoenix, AZ 85016, United States, Phoenix, AZ 85016",,,,,,AZ,,,,,,,,
Advanced Behavior Consulting,(602) 393-8574,,,"726 E Michelle Dr., , AZ",,,,English,,AZ,,,,,,,,
"Adventure ABA, LLC",623-693-2954,https://www.adventureaba.com/,contact@adventureaba.com,"6232 N 7th St STE 100, Phoenix, AZ 85014, United States, Phoenix, AZ 85014",,,,,,AZ,,,,,,,,
"Adventure ABA, LLC",623-693-2954,https://www.adventureaba.com/,contact@adventureaba.com,"6232 N 7th St STE 100, Phoenix, AZ 85014, United States, Phoenix, AZ 85014",,,,,,AZ,,,,,,,,
Ally Pediatric Therapy,602-606-2237,https://allypediatric.com/,Info@allypediatric.com,"10595 N Tatum Blvd # E146, Paradise Valley, AZ 85253, United States, Paradise Valley, AZ 85253",,,,,,AZ,,,,,,,,
Angels and Autism LLC,520-886-6537,http://angelsinautismllc.com/,angelsinautismaz@gmail.com,"4885 S Houghton Rd 1, Tucson, AZ 85730, USA, Tucson, AZ 85730",,,,,,AZ,,,,,,,,
Arion Care Solutions,(480) 404-0242,,,"3200 N. Dobson Rd., , AZ",Aetna; Optum; United Healthcare; Blue Cross and Blue Shield Association; Optum/United,Center-based; Home-based,Adult Services,English,2-10; 11-21; 22+,AZ,,,,,,,,
Arizona Autism,480-488-3946,https://arizonaautism.com/,,"7120 E Sahuaro Dr, Scottsdale, AZ 85254, United States, Scottsdale, AZ 85254",,,,,,AZ,,,,,,,,
Arizona Autism Charter School,602-882-5544,http://www.autismcharter.org/,,"4433 N 7th St, Phoenix, AZ 85014, USA, Phoenix, AZ 85014",,,,,,AZ,,,,,,,,
Arizona Autism Charter School,602-882-5544,http://www.autismcharter.org/,,"4433 N 7th St, Phoenix, AZ 85014, USA, Phoenix, AZ 85014",,,,,,AZ,,,,,,,,
ARIZONA AUTISM COALITION,85044-6417,https://www.azautism.org/,,"4802 E Ray Rd 23, Phoenix, AZ 85044, USA, Phoenix, AZ 85044",,,,,,AZ,,,,,,,,
Arizona Autism Support,623-242-2441,,,"Mesa, AZ, USA, Mesa, AZ",,,,,,AZ,,,,,,,,
Arizona Autism United,602-773-5773,https://azaunited.org/,info@azaunited.org,"5025 E Washington St 212, Phoenix, AZ 85034, USA, Phoenix, AZ 85034",,,,,,AZ,,,,,,,,
Arizona Center for Autism,520-300-6103,http://www.arizonacenterforautism.org/,info@arizonacenterforautism.org,"5870 E 14th St, Tucson, AZ 85711, USA, Tucson, AZ 85711",,,,,,AZ,,,,,,,,
Arizona Center for Autism,520-300-6103,http://www.arizonacenterforautism.org/,info@arizonacenterforautism.org,"5870 E 14th St, Tucson, AZ 85711, USA, Tucson, AZ 85711",,,,,,AZ,,,,,,,,
"Arizona Child Psychology, PLLC (Children, Adolescents, Parents)",602-824-8804,http://www.arizonachildpsychology.com/,drsct@arizonachildpsychology.com,"10210 N 32nd St 213, Phoenix, AZ 85028, USA, Phoenix, AZ 85028",,,,,,AZ,,,,,,,,
Ascend Behavior Partners,(720) 961-3764,,,"3420 E Shea Blvd., , AZ",Aetna; Anthem Blue Cross; Cigna; Kaiser Permanente; Magellan Health; Optum; Tricare; United Healthcare; Amerigroup; Anthem (Blue Cross Blue Shield); Blue Cross and Blue Shield Association; Optum/United; UnitedHealth Group; Molina Healthcare; Blue California; Premera Blue Cross; Other,Home-based; School-based,Community; Behavioral Health,English; Spanish,2-10,AZ,,,,,,,,
Aurora Day School,623-209-1000,https://catapultlearning.com/schools/aurora-day-school/,,"8155 W Thunderbird Rd, Peoria, AZ 85381, USA, Peoria, AZ 85381",,,,,,AZ,,,,,,,,
Autism Academy for Education & Development Tempe Campus,480-240-9255,https://www.aaed.org/,info@aaed.org,"7541 S Willow Dr, Tempe, AZ 85283, USA, Tempe, AZ 85283",,,,,,AZ,,,,,,,,
Autism Academy for Education and Development Peoria Campus,480-240-9255,https://www.aaed.org/,info@aaed.org,"6810 W Thunderbird Rd, Peoria, AZ 85381, USA, Peoria, AZ 85381",,,,,,AZ,,,,,,,,
Autism Society,520-770-1541,http://www.as-az.org/,info@as-az.org,"2600 N Wyatt Dr, Tucson, AZ 85712, USA, Tucson, AZ 85712",,,,,,AZ,,,,,,,,
Autism Spectrum Therapies at Evans Elementary School,866-727-8274,http://www.autismtherapies.com/,,"4525 S College Ave, Tempe, AZ 85282, USA, Tempe, AZ 85282",,,,,,AZ,,,,,,,,
AZ ASSIST,480-779-0899,http://azassist.com/,,"2150 E Southern Ave, Tempe, AZ 85204, USA, Tempe, AZ 85204",,,,,,AZ,,,,,,,,
Beyond Autism,602-541-9743,https://www.beyond-autism.com/,info@beyond-autism.com,"6508 E Cactus Rd, Scottsdale, AZ 85254, USA, Scottsdale, AZ 85254",,,,,,AZ,,,,,,,,
Bierman ABA Autism Centers,800-931-8113,,,"1729 W Greentree Dr, , AZ",,Center-based,Behavioral Health,English,2-10,AZ,,,,,,,,
Bierman ABA Autism Centers,800-931-8113,,,"8444 North 90th Street, , AZ",,Center-based,Behavioral Health,English,2-10,AZ,,,,,,,,
Brilliant Minds,8155085303,,,", , AZ",,Center-based; School-based,Behavioral Health,English,,AZ,,,,,,,,
Center For Autism And Related Disorders,602-325-2485,https://www.centerforautism.com/,info@centerforautism.com,"2400 W Dunlap Ave Suite 100, Phoenix, AZ 85021, United States, Phoenix, AZ 85021",,,,,,AZ,,,,,,,,
Centria Healthcare,(855) 772-8847,,,"2720 E Thomas Road, , AZ",,Center-based; Home-based,,English,,AZ,,,,,,,,
Debbie Mace,928 821 0422,,bendebbiemace@yahoo.com,"1350 wagon trail, Camp Verde, AZ",,,,,,AZ,,,,,,,,
Developmental Enrichment Centers (DEC),602-314-4214,http://dec-az.org/,,"16809 N 53rd Ave 2, Glendale, AZ 85306, USA, Glendale, AZ 85306",,,,,,AZ,,,,,,,,
First Place AZ,602-733-6525,http://www.firstplaceaz.org/,info@firstplaceaz.org,"717 E Maryland Ave 110, Phoenix, AZ 85014, USA, Phoenix, AZ 85014",,,,,,AZ,,,,,,,,
Freedom Behavior Consulting,(520) 481-0059,,,"2985 W. Dakota Vista Way, , AZ",,Center-based; Home-based; School-based,Community,English,,AZ,,,,,,,,
Kyo,(877) 264-6747,https://kyocare.com/our-services/sign-up/,info@kyocare.com,"""3707 E Southern Ave	Floors 1 and 2	Mesa	AZ	85206"", Mesa, AZ 85206",,,,,,AZ,,,,,,,,
Lauren's Institute for Education,480-621-8361,,,"1305 South Gilbert Road, , AZ",,Center-based; School-based,,English,,AZ,,,,,,,,
Lauren's Institute for Education,480-621-8361,,,"1305 S. Gilbert Rd., , AZ",,Center-based; School-based,,English,,AZ,,,,,,,,
Laurens Institute For Education,480-621-8361,http://laurensinstitute.org/,,"1305 S Gilbert Rd, Gilbert, AZ 85296, USA, Gilbert, AZ 85296",,,,,,AZ,,,,,,,,
Lexington Life Academy,480-630-1507,http://lexingtonservices.com/,,"9132 E Southern Ave, Mesa, AZ 85209, USA, Mesa, AZ 85209",,,,,,AZ,,,,,,,,
MeBe,(619) 606-5858,,,"2150 S. Country Club Dr., , AZ",,,,English,,AZ,,,,,,,,
New Way Academy,602-629-6850,https://newwayacademy.org/,,"5048 E Oak St, Phoenix, AZ 85008, USA, Phoenix, AZ 85008",,,,,,AZ,,,,,,,,
Positive ABA,(480) 361-1025,,,"2160 E Fry Blvd., , AZ",,Home-based; School-based,Adult Services; Community; Behavioral Health,,2-10; 11-21; 22+,AZ,,,,,,,,
Positive ABA,(480) 361-1025,,,"5424 E Broadway Rd., , AZ",,Home-based; School-based,Adult Services; Community; Behavioral Health,,2-10; 11-21; 22+,AZ,,,,,,,,
Positive ABA,(480) 361-1025,,,"18521 E. Queen Creek Rd, , AZ",,Home-based; School-based,Adult Services; Community; Behavioral Health,,2-10; 11-21; 22+,AZ,,,,,,,,
Positive ABA LLC,480-361-1025,https://www.positiveaba.org/,info@positiveaba.org,"18521 E Queen Creek Rd, Queen Creek, AZ 85142, United States, Queen Creek, AZ 85142",,,,,,AZ,,,,,,,,
Raising Special Kids,602-242-4366,http://www.raisingspecialkids.org/,info@raisingspecialkids.org,"5025 Washington St 204, Phoenix, AZ 85034, USA, Phoenix, AZ 85034",,,,,,AZ,,,,,,,,
Sami's Angels ABA Services,4802481664,www.SamisAngelsABA.com,Admin@samisangelsaba.com,"East Valley of Phoenix, Gilbert, AZ, United States, Gilbert, AZ",,,,,,AZ,,,,,,,,
Sami's Angels ABA Services,4802481664,/www.SamisAngelsABA.com,Admin@samisangelsaba.com,"East Valley of Phoenix, AZ , Gilbert, AZ, United States, Arizona, East Valley, AZ",,,,,,AZ,,,,,,,,
SARRC's Colonel Harland D. Sanders Center for Autism Studies,602-340-8717,https://www.autismcenter.org/,sarrc@autismcenter.org,"2225 N 16th Street Phoenix, AZ 85006, Phoenix, AZ 85006",,,,,,AZ,,,,,,,,
SARRC's Sybil B. Harrington Campus for Exceptional Children,602-340-8717,https://www.autismcenter.org/,sarrc@autismcenter.org,"300 N 18th Street Phoenix, AZ 85006, Phoenix, AZ 85006",,,,,,AZ,,,,,,,,
SARRC's Vocational & Life Skills Academy,602-340-8717,https://www.autismcenter.org/,sarrc@autismcenter.org,"2225 N 16th Street Phoenix, AZ 85006, Phoenix, AZ 85006",,,,,,AZ,,,,,,,,
SEEDs for Autism,602-253-4471,https://www.seedsforautism.org/,info@seedsforautism.org,"3420 S 7th St, Phoenix, AZ 85040, USA, Phoenix, AZ 85040",,,,,,AZ,,,,,,,,
Sonoran Learning and Behavioral Services,602-882-4238,https://www.sonoranlbs.com/,admin@sonoranlbs.com,"34225 N 27th Dr Bldg 4B, Ste 131, Phoenix, AZ 85085, United States, Phoenix, AZ 85085",,,,,,AZ,,,,,,,,
Southwest Autism Research & Resource Center,602-340-8717,https://www.autismcenter.org/,sarrc@autismcenter.org,"300 N 18th St, Phoenix, AZ 85006, USA, Phoenix, AZ 85006",,,,,,AZ,,,,,,,,
Southwest Behavioral & Health Services,602-265-8338,http://www.sbhservices.org/locations-contact-info,info@sbhservices.org,"3450 N 3rd St, Phoenix, AZ 85012, USA, Phoenix, AZ 85012",,,,,,AZ,,,,,,,,
St. Dominic Savio Academy,480-659-5456,http://www.stdomsavio.com/contact.html,info@stdomsavio.com,"550 West Warner Road, Chandler, AZ 85225, USA, Chandler, AZ 85225",,,,,,AZ,,,,,,,,
Strong Beginnings,928-782-1338,https://strongbeginnings-aba.com/,hello@strongbeginnings-aba.com,"2741 S 8th Ave ste c, Yuma, AZ 85364, United States, Yuma, AZ 85364",,,,,,AZ,,,,,,,,
The Autism Society Of Southern Arizona - Santa Cruz,520-860-5402,,,"13 Pioneer Ct, Nogales, AZ 85621, USA, Nogales, AZ 85621",,,,,,AZ,,,,,,,,
The Children's Center,623-915-0345,http://thechildrenscenteraz.org/,admin@ccnsaz.org,"5430 W Glenn Dr, Glendale, AZ 85301, USA, Glendale, AZ 85301",,,,,,AZ,,,,,,,,
"Thrive Autism Services, PLLC",480-888-5287,https://www.thrive-autism.com/,admin@thrive-autism.com,"70 S Val Vista Dr, Gilbert, AZ 85296, United States, Gilbert, AZ 85296",,,,,,AZ,,,,,,,,
Thriving Minds Academy,480-806-8000,www.thrivingmindsaz.com,info@thrivingmindsaz.com,"850 S Ironwood Dr Ste #110, Apache Junction, AZ 85120, USA, , AZ 85120",,,,,,AZ,,,,,,,,
Trumpet Behavioral Health,602-535-8341,https://tbh.com/,,"1166 S Gilbert Rd #106, Gilbert, AZ 85296, United States, Gilbert, AZ 85296",,,,,,AZ,,,,,,,,
Tucson Alliance For Autism,520-319-5857,http://www.tucsonallianceforautism.com,,"1002 N Country Club Rd, Tucson, AZ 85716, USA, Tucson, AZ 85716",,,,,,AZ,,,,,,,,
Young Mind Center,602-237-6653,http://www.doctorwood.org/youngmindcenter.html,office@youngmindcenter.org,"51 E Monterey Way, Phoenix, AZ 85012, USA, Phoenix, AZ 85012",,,,,,AZ,,,,,,,,
A Happy Family Behavioral Services,818-330-5328,https://www.ahappyfam.com/,,"16000 Ventura Blvd Suite 1103, Encino, CA 91436, United States, Los Angeles, CA 91436",,,,,,CA,,,,,,,,
A Is For Apple,877-991-0009,http://aisforapple.com/,intake@aisforapple.com,"1479 Saratoga Avenue, San Jose, California 95129, San Jose, CA",,,,,,CA,,,,,,,,
ABA & Verbal Behavior Group,(619) 281-6067,,,"3934 Murphy Canyon Rd., , CA",,Home-based,,English,,CA,,,,,,,,
Abby Twyman,949-756-8799,https://www.tbh.com/,,"Orange County, 4001 Westerly Place, Suite 110, Newport Beach, CA 92660, Newport Beach, CA 92660",,,,,,CA,,,,,,,,
About Behavior Consulting,714-380-1914,,,"201 S Anita Dr, , CA",,,,,,CA,,,,,,,,
ABS Kids,(801) 935-4171,,,"123 9600 Center Ave., , CA",,Center-based; Home-based,Community,English,,CA,,,,,,,,
ABS Kids,(801) 935-4171,,,"32326 Clinton Keith Road, , CA",,Center-based; Home-based,Community,English,,CA,,,,,,,,
ABS Kids,(801) 935-4171,,,"2421 Portola Road, , CA",,Center-based; Home-based,Community,English,,CA,,,,,,,,
ABS Kids,(801) 935-4171,,,"2820 Camino Del Rio South, , CA",,Center-based; Home-based,Community,English,,CA,,,,,,,,
Acuity Behavior Solutions,714-696-2862,https://www.acuitybehaviorsolutions.com/,info@acuitybehaviorsolutions.com,"1820 W Orangewood Ave Suite 110, Orange, CA 92868, United States, Orange, CA 92868",,,,,,CA,,,,,,,,
"Adamant Behavioral Services, Inc.",(818) 330-9006,,,"2233 Honolulu Avenue, Suite 301, , CA",,Center-based,Community,English,,CA,,,,,,,,
"Advance Kids, LLC",(916) 363-6103,,,"9755 Lincoln Village Drive, , CA",Aetna; Cigna; Kaiser Permanente; Optum; Anthem (Blue Cross Blue Shield); Blue Cross and Blue Shield Association; Optum/United; Molina Healthcare,Center-based,Behavioral Health,English,2-10; 11-21,CA,,,,,,,,
"Advance Kids, LLC",(916) 363-6103,,,"2800 Stonecreek Drive, , CA",Aetna; Cigna; Kaiser Permanente; Optum; Anthem (Blue Cross Blue Shield); Blue Cross and Blue Shield Association; Optum/United; Molina Healthcare,Center-based,Behavioral Health,English,2-10; 11-21,CA,,,,,,,,
Alanna Larriba,831-424-5565,https://www.tbh.com/,,"Santa Cruz, 2121 41st Avenue, Suite 211, Capitola , CA 95010, Capitola, CA 95010",,,,,,CA,,,,,,,,
Alexandra Kane,650-627-8045,https://www.tbh.com/,,"San Francisco Peninsula, 751 Camino Plaza, Suite A, San Bruno, CA 94066, San Bruno, CA 94066",,,,,,CA,,,,,,,,
Alexia Barnes,949-756-8799,https://www.tbh.com/,,"Orange County, 4001 Westerly Place, Suite 110, Newport Beach, CA 92660, Newport Beach, CA 92660",,,,,,CA,,,,,,,,
Alice Arabian,8186202143,www.elevatedaba.com,info@elevatedaba.com,"Santa Clarita, California, USA, Santa Clarita, CA",Telehealth,,Home-Based,,,CA,,,,,,,,
Amanda McCullough,949-756-8799,https://www.tbh.com/,,"Orange County, 4001 Westerly Place, Suite 110, Newport Beach, CA 92660, Newport Beach, CA 92660",,,,,,CA,,,,,,,,
Amy Harbison,408-885-0805,https://www.tbh.com/,,"1401 Parkmoor Ave, Suite 208, San Jose, CA 95126, San Jose, CA 95126",,,,,,CA,,,,,,,,
Angelica Aguirre,408-885-0805,https://www.tbh.com/,,"1401 Parkmoor Ave, Suite 208, San Jose, CA 95126, San Jose, CA 95126",,,,,,CA,,,,,,,,
Ascend Diagnostic & Support Services,916-525-8866,https://www.ascendsupportservices.com/,lizzyfuller@ascendsupportservices.com,"2717 Cottage Way, Suite 16 Sacramento, CA 95825, Sacramento, CA 95825",,,,,,CA,,,,,,,,
Ashley Langeliers,925-462-2281,https://www.tbh.com/,,"Dublin , CA 94568, Dublin, CA 94568",,,,,,CA,,,,,,,,
Ashton Benedickt,925-462-2281,https://www.tbh.com/,,"Dublin , CA 94568, Dublin, CA 94568",,,,,,CA,,,,,,,,
