name,address,phone,website,rating,reviews,latitude,longitude,place_id
"Pamela Rowe MA, CCC-SLP, LLC","2957 FL-434 #100, Longwood, FL 32779",(407) 271-4911,http://www.speechorlando.com/,4.4,41,28.685452899999998,-81.4183457,ChIJ06IhIDly54gRwkiB0891Qto
Lake Speech & Language Services,"835 7th St #6, Clermont, FL 34711",(352) 432-3998,,4.8,82,28.5536592,-81.7663159,ChIJ2QQTY8mi54gRXV7NZ2rZdug
"Speech Pathology of Coral Gables, Inc.","603 SW 57th Ave, Miami, FL 33144",(305) 774-1788,https://www.spcginc.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=17471866507398493460,4.8,18,25.7648585,-80.287778,ChIJmbZoMJG32YgR9JfpXI3EDGw
Little Tesla Pediatric Therapy,"7075 Kingspointe Pkwy STE 14, Orlando, FL 32819",(321) 732-3723,https://littleteslapediatrics.com/,4.9,112,28.4610246,-81.4373408,ChIJ5dAtxyF_54gRsXQYa8hSM9k
"SLP Miami Therapy, Inc.","2500 NW 79th Ave STE 249, Doral, FL 33122",(786) 703-8914,https://slpmiamitherapy.com/contact-us/,4.8,56,25.797729399999998,-80.32603449999999,ChIJAQBA3Ha52YgRSkDqddapH5w
Fresh Start Speech Therapy,"9957 Moorings Dr STE 301, Jacksonville, FL 32257",(904) 652-6165,https://jaxfreshstart.com/,4.8,30,30.1954677,-81.6180004,ChIJh1xYJ3W35YgRMQbOhHqfAEo
More Than A Voice Speech Therapy,"10752 Deerwood Park Blvd, Jacksonville, FL 32256",(407) 214-8220,http://mtavspeechtherapy.com/,4.8,46,30.2470592,-81.530929,ChIJ-3mTrDzJcQcRe3DrlIWxx3s
Small Talk Speech Therapy (Jacksonville),"8777 San Jose Blvd #701, Jacksonville, FL 32217",(904) 733-8255,http://smalltalkjax.com/,4.5,47,30.2202761,-81.6146231,ChIJNSWT21nK5YgRRa5JKqCFSkw
Pediatric Therapy of Riverside,"2574 Park St, Jacksonville, FL 32204",(904) 300-0796,http://www.pediatrictherapyofriverside.com/,4.8,16,30.3115198,-81.69089509999999,ChIJg_6xd2K35YgRfOp8RkquRm0
Broad Horizons Speech Therapy,"9191 R G Skinner Pkwy #103, Jacksonville, FL 32256",(904) 428-8302,http://www.broadhorizonsspeech.com/,5,22,30.2122994,-81.5126397,ChIJy8dXoua35YgR9lwkVK_krBc
"BrainWorks Therapy, LLC: Speech, Language & Literacy","2903 Bernice Ct, Jacksonville, FL 32257",(904) 515-2982,http://www.brainworksslp.com/,5,12,30.195487399999998,-81.6304155,ChIJ_77ebmbJ5YgRclHUl6Y3aus
Atlantic Speech Therapy,"4540 Southside Blvd #504, Jacksonville, FL 32216",,,5,12,30.262006,-81.558138,ChIJ2y2XU0o15IgRGKznuExt-FQ
FAME Speech and Myo,"7807 Baymeadows Rd E #305, Jacksonville, FL 32256",(904) 201-9048,http://www.famespeechandmyo.com/,5,21,30.2317486,-81.509124,ChIJmTdz1XvQGyERW-1RPiCDBA8
Clear Communication Therapy,"3955 Riverside Ave #216, Jacksonville, FL 32205",(831) 200-4414,https://www.clearcommtherapy.com/,5,10,30.2913519,-81.7118966,ChIJR1OWohVL5IgRVpO8RI05Pns
Coastal Pediatric Therapy Center - Mandarin,"6100 Greenland Rd #901, Jacksonville, FL 32258",(904) 372-4070,http://coastaltherapy.net/,5,31,30.1607921,-81.54691799999999,ChIJA6kWFLfN5YgRHEROmECCpFU
Speech Pathways of St. Johns,"12627 San Jose Blvd STE 803, Jacksonville, FL 32223",(904) 834-1336,http://speechpathwayssj.com/,5,33,30.1381029,-81.6305977,ChIJYTICtaXN5YgRDIaRKNMF_pY
Merritt Speech & Learning,"1309-110 St Johns Bluff Rd N, Jacksonville, FL 32225",(904) 721-4122,http://merrittspeech.com/,4.7,12,30.3430017,-81.52266279999999,ChIJCbB3lam05YgR8OXYAX1Wylo
Coastal Pediatric Therapy Center,"2730 Isabella Blvd #10, Jacksonville Beach, FL 32250",(904) 372-4070,http://coastaltherapy.net/,4.8,101,30.266372099999998,-81.3907859,ChIJbyXB6clJ5IgRo121lQS5vEc
Sunshine Speech,"4600 Beach Blvd, Jacksonville, FL 32207",,http://sunshinespeechfl.com/,5,8,30.2977052,-81.6194845,ChIJT5DGhEuiJgkRaFyltaJeHtM
Bridge Therapy,"8833 Perimeter Park Blvd STE 404, Jacksonville, FL 32216",(904) 552-1588,https://mybridgetherapy.com/,5,8,30.2512792,-81.55526239999999,ChIJKcXKqgDL5YgRRdqdIjC9JgA
Jacksonville Speech & Hearing Center,"1010 N Davis St, Jacksonville, FL 32209",(904) 355-3403,http://www.shcjax.org/,4.5,148,30.336858699999997,-81.6675635,ChIJA79YkSS35YgRz3jUm1P9VXE
All Together Wellness,"1157 Beach Blvd, Jacksonville Beach, FL 32250",(904) 450-5061,http://www.alltogetherwellness.net/,5,46,30.288338699999997,-81.4023079,ChIJURAyriGAgmsRQvxmPyGfUus
"North Florida Therapy Associates, LLC","12025 San Jose Blvd #101, Jacksonville, FL 32223",(904) 880-1444,http://northfloridatherapy.com/,5,8,30.1524827,-81.631326,ChIJD1-dK_XO5YgRek6La0Yu9p4
"Speech World, LLC","6614 Atlantic Blvd, Jacksonville, FL 32211",(904) 685-4267,https://www.speechworldfl.com/,5,4,30.312369399999998,-81.59060079999999,ChIJnUBnQjm15YgRYdsMpg1KkOY
Tribe Rehabilitation,"2103 Gilmore St, Jacksonville, FL 32204",(904) 906-3878,http://inthetribe.net/,4.7,14,30.319764799999998,-81.6853282,ChIJG3_qj2e35YgRMGn7jurRBMg
My Therapy Center,"2828 Coral Wy Suite 110-A, Miami, FL 33145",(305) 856-1999,http://www.mytherapycentermiami.com/,4.1,66,25.749765,-80.24010919999999,ChIJ2SmwqlO22YgRofXYqj2G93o
Speech Therapy Of Miami,,(305) 873-9589,https://www.speechtherapymiami.org/,5,33,25.732886999999998,-80.2762314,ChIJe4hhV_Hn2YgRNlY2VgtujzY
Miami Speech Institute LLC,"717 Ponce de Leon STE 221, Coral Gables, FL 33134",(786) 460-1595,http://www.miamispeechinstitute.com/,4.6,22,25.765341,-80.2578297,ChIJJ-2jRHS32YgRiuOzqdQwz0w
Innovative Pediatric Learning Center of Miami (IPLC),"2780 SW 37th Ave #203, Miami, FL 33133",(786) 622-2353,http://www.iplcmiami.com/,5,38,25.739428,-80.254434,ChIJFdd_37-32YgRBTUTvxTmy2c
Star Therapy Services Inc.,"10000 SW 56th St #10, Miami, FL 33165",(786) 542-5774,http://www.startherapyservices.net/,4.9,65,25.7150862,-80.3574258,ChIJ2elH9rHH2YgRN23R4rffltA
BEST Pediatric Therapy Center Miami,"706 S Dixie Hwy #100, Coral Gables, FL 33146",(305) 564-6556,http://www.bestpediatrictherapycenter.com/,5,11,25.722265099999998,-80.2669087,ChIJaTwK31Q5rGYRgUUVPV-o7Tg
CommuniKids Miami Speech Therapy,"117 Majorca Ave Ste. 2A, Coral Gables, FL 33134",(305) 343-8177,https://communikidsmiami.com/,5,8,25.7554268,-80.25727959999999,ChIJibmuw-my2YgRm2fdWWeO9zo
Always Keep Progressing - Miami Shores,"11601 Biscayne Blvd Suite 312, Miami, FL 33181",(786) 206-4151,https://www.alwayskeepprogressing.com/,4.4,88,25.882596,-80.1656678,ChIJ2xfBsfaz2YgRUq65zCnpv_M
Children's Premier Therapy,"7990 SW 117th Ave #115, Miami, FL 33183",(786) 646-2555,http://www.childrenspremiertherapy.com/,5,28,25.6942099,-80.3824537,ChIJ1biNNYDH2YgRGZX5kMY9fwI
Speech Pathology & Educational Center,"8590 SW 40th St, Miami, FL 33155",(305) 266-5353,http://www.specmiami.com/,4.4,29,25.7319067,-80.3345404,ChIJnaceR-O42YgRWKXkRn2-CB0
ABC Speech Therapy Center Inc,"3452 SW 8th St, Miami, FL 33135",(786) 703-5112,http://www.abctherapyinc.com/,5,13,25.7646677,-80.2513407,ChIJY8WCsZ232YgR724sim8bOaQ
Speech Therapy/Westchester/Miami/Therapy center in town,"9746 SW 24th St, Miami, FL 33165",(786) 717-7770,,5,1,25.7469851,-80.3521279,ChIJRx9mq8e42YgREjYJJCyOS-Q
Miami Speech Therapy,,(305) 998-6084,http://www.miamispeechtx.com/,5,11,25.782414,-80.2253934,ChIJyzd-e-LCyqIRUde4BagX-FQ
First Kid's PPEC,"8681 Coral Wy, Miami, FL 33155",(786) 238-7270,https://fkppec.com/,5,41,25.749243399999997,-80.3352,ChIJSdCP4xe52YgRHCGECOUO9Xk
Bilingual Sweet Speech and Therapy,"2100 Coral Wy Ste 604, Miami, FL 33145",(757) 971-0808,https://bilingualsweetspeech.my.canva.site/speech-therapy,5,8,25.7503946,-80.2284612,ChIJYyWyu4q32YgRT0oWwiYuRbU
B & V Thera-Pro Associates Corporation - South Kendall,"14291 SW 120th St #103, Miami, FL 33186",(305) 385-0168,https://kidstherapro.com/,4.9,107,25.6571747,-80.42623789999999,ChIJZanS8L3B2YgRwbdx2AbjBHU
"Neurorehab & Speech Healers - Speech Therapy & Pathology, Pediatric & Adult Language Disorder Therapist","625 E Twiggs St Suite 102, Tampa, FL 33602",(732) 743-8383,/url?q=https://www.floridaspeechtherapy.net/&opi=79508299&sa=U&ved=0ahUKEwiF6aj6wZ-RAxVIumMGHUzDJXAQ61gINygN&usg=AOvVaw1yBs7Dm86fIIbSUDRHMaC-,4.9,23,27.950075899999998,-82.4553466,ChIJ9bY8YNvFwogR0C_wdVUsZ48
Family First Therapy Inc,"207 Crystal Grove Blvd, Lutz, FL 33548",(813) 848-0341,/url?q=http://www.familyfirsttherapyinc.com/&opi=79508299&sa=U&ved=0ahUKEwiF6aj6wZ-RAxVIumMGHUzDJXAQ61gIUygN&usg=AOvVaw2ptkHg1GYurFoaPdQG5msQ,5,119,28.142934699999998,-82.46473979999999,ChIJK7xQgCe5wogR4JzM_A8b7YY
Speak Outside The Box,"312 S Brevard Ave, Tampa, FL 33606",(813) 422-4414,/url?q=http://www.speakoutsidethebox.com/&opi=79508299&sa=U&ved=0ahUKEwiF6aj6wZ-RAxVIumMGHUzDJXAQ61gIbygN&usg=AOvVaw1wVgga1bGlDZhVEA-qI6Gg,5,26,27.9409858,-82.4664852,ChIJXwpv8W7DwogRMaZN3yeGjuE
The Little Years Therapy Co.,"4318 W El Prado Blvd, Tampa, FL 33629",(813) 444-3622,/url?q=https://thelittleyearstherapyco.com/&opi=79508299&sa=U&ved=0ahUKEwiF6aj6wZ-RAxVIumMGHUzDJXAQ61gIiwEoDQ&usg=AOvVaw1wcgbh2XXyzSJmd1LZKKvk,5,17,27.911351,-82.5172956,ChIJjy1lsly39SARnGr7rpHWYUY
Lama Pediatric Therapy,"1315 W Fletcher Ave, Tampa, FL 33612",(813) 269-4879,/url?q=http://www.lamatherapies.com/&opi=79508299&sa=U&ved=0ahUKEwiF6aj6wZ-RAxVIumMGHUzDJXAQ61gIrQEoDQ&usg=AOvVaw11SsNGB-bU1ejQgxouaG-7,4.7,65,28.069924999999998,-82.4732873,ChIJ6y6BgpHHwogRn0rSzxokYNA
Believe It and Achieve It LLC,"10006 N Dale Mabry Hwy Suite 202, Tampa, FL 33618",(813) 374-0442,/url?q=http://www.believeittherapy.com/&opi=79508299&sa=U&ved=0ahUKEwiF6aj6wZ-RAxVIumMGHUzDJXAQ61gIyQEoDQ&usg=AOvVaw1803uXbiQ2gp_yvh2sKfez,4.6,30,28.040789699999998,-82.50648989999999,ChIJT5gd0W7BwogRdPe4krF9Q0g
"Tampa Bay Speech, Language & Reading Clinic","5607 Skytop Dr, Lithia, FL 33547",(813) 368-2485,/url?q=http://tampabayspeech.com/&opi=79508299&sa=U&ved=0ahUKEwiF6aj6wZ-RAxVIumMGHUzDJXAQ61gI5QEoDQ&usg=AOvVaw0rBnGripHCl-W8tX3cUbHu,4.9,33,27.8538064,-82.2584571,ChIJTSDoLyvTwogRpt-YuP49euo
Speech Care at Home,"2810 N 10th St STE B, Tampa, FL 33605",(813) 344-3207,/url?q=http://speechcareathome.com/&opi=79508299&sa=U&ved=0ahUKEwiF6aj6wZ-RAxVIumMGHUzDJXAQ61gIgQIoDQ&usg=AOvVaw2T2TeUHX9FPr3PKjRmUx4H,5,26,27.968314099999997,-82.4493559,ChIJTZFcGPfFwogRzaV1ukRnXAg
Get Set Therapy Speech Pathology Services for Adolescents & Adults,"730 S Sterling Ave Ste 105, Tampa, FL 33609",,/url?q=https://getset.tools/&opi=79508299&sa=U&ved=0ahUKEwiF6aj6wZ-RAxVIumMGHUzDJXAQ61gInAIoCQ&usg=AOvVaw2rA19ayXnXezM7nvaT9MZr,5,2,27.9369299,-82.5033758,ChIJf6RFcRHDwogRyEWkdVNxfA4
"Saltwater Speech Therapy, LLC.","110 S MacDill Ave, Tampa, FL 33609",(904) 434-6313,/url?q=https://www.saltwaterspeechtherapy.com/contact&opi=79508299&sa=U&ved=0ahUKEwiF6aj6wZ-RAxVIumMGHUzDJXAQ61gIuQIoDQ&usg=AOvVaw1TyI9mvuWnbqX-86dImYYY,5,4,27.9438671,-82.49297729999999,ChIJKyppa3LDwogR61ckscnhByI
Connected Speech Pathology,,(813) 444-5978,/url?q=https://connectedspeechpathology.com/&opi=79508299&sa=U&ved=0ahUKEwiF6aj6wZ-RAxVIumMGHUzDJXAQ61gIzQIoBQ&usg=AOvVaw23tJ8V-5hYl9kl7gJ1Tsgj,5,200,46.423669,-129.9427086,ChIJXWtJUz_dwogRFa2-eNDO7Lg
HealthPRO Pediatrics North Tampa,"1344 W Fletcher Ave Suite 104, Tampa, FL 33612",(813) 961-1666,/url?q=https://healthpropediatrics.com/north-tampa-fl/&opi=79508299&sa=U&ved=0ahUKEwiF6aj6wZ-RAxVIumMGHUzDJXAQ61gI7wIoDQ&usg=AOvVaw3QXZh3kUrnhKiAiSLSxGBd,4.3,110,28.0690423,-82.474051,ChIJuUd3x4THwogRmPktXEnS2rc
TheraVolve Wellness Co.,"14310 N Dale Mabry Hwy #290, Tampa, FL 33618",(813) 778-5682,/url?q=http://www.theravolvewellness.com/&opi=79508299&sa=U&ved=0ahUKEwiF6aj6wZ-RAxVIumMGHUzDJXAQ61gIiwMoDQ&usg=AOvVaw1DBVxON4Yb-t76n1KIS0bx,5,22,28.0758431,-82.50837849999999,ChIJ7ecAf3TBwogRGO8dSVeTvUg
Decker Therapy Services,"4810 W Gandy Blvd, Tampa, FL 33611",(813) 380-8230,/url?q=http://www.deckertherapyservices.org/&opi=79508299&sa=U&ved=0ahUKEwiF6aj6wZ-RAxVIumMGHUzDJXAQ61gIqwMoDQ&usg=AOvVaw3HKg6MJVcswN3UpBFwiiz4,5,4,27.893049599999998,-82.527369,ChIJQTUcPyTdwogRcPbn51e0bmw
Sunshine SPOT,"3602 W San Juan St, Tampa, FL 33629",(813) 833-0090,/url?q=http://sunshine-spot.com/&opi=79508299&sa=U&ved=0ahUKEwiF6aj6wZ-RAxVIumMGHUzDJXAQ61gIyQMoDQ&usg=AOvVaw3wflA4H-jt3k2VmprToDkT,5,20,27.918120599999998,-82.5020292,ChIJn04VXlPqwogRYLYCm9lxhP8
Independent Living Inc,"6508 Gunn Hwy, Tampa, FL 33625",(813) 963-6923,/url?q=http://www.independentlivinginc.com/&opi=79508299&sa=U&ved=0ahUKEwiF6aj6wZ-RAxVIumMGHUzDJXAQ61gI5QMoDQ&usg=AOvVaw2eCQouYIgfOdQRmEHKSmAG,4.5,88,28.064947,-82.55862499999999,ChIJbccxUCbAwogRKlXNwvepZig
Therapy Station,"13200 McCormick Dr Ste E-1, Tampa, FL 33626",(813) 814-5971,/url?q=https://therapystation.com/&opi=79508299&sa=U&ved=0ahUKEwiF6aj6wZ-RAxVIumMGHUzDJXAQ61gIhAQoDQ&usg=AOvVaw1VO7tYzs2T4rtBt3AW-v-Q,5,10,28.0600722,-82.6464762,ChIJh3S3Un_rwogRiOSeYJZitPE
USF Speech-Language Clinic,"3711 USF Citrus Dr Drive, Tampa, FL 33620",(813) 974-9844,/url?q=http://www.usf.edu/cbcs/csd/services/speech-language-clinic.aspx&opi=79508299&sa=U&ved=0ahUKEwiF6aj6wZ-RAxVIumMGHUzDJXAQ61gIoAQoDQ&usg=AOvVaw3rfHr9zJ9CM39SvJKkilVo,4.4,12,28.0636188,-82.4191877,ChIJkwYd47zHwogR_WLhDYlrFfQ
HealthPRO Pediatrics South Tampa,"2111 W Swann Ave #100, Tampa, FL 33606",(813) 251-1618,/url?q=https://healthpropediatrics.com/south-tampa-fl/&opi=79508299&sa=U&ved=0ahUKEwiF6aj6wZ-RAxVIumMGHUzDJXAQ61gIvAQoDQ&usg=AOvVaw0yGRI7WlSLN-5Eg1F_Wu5J,4.2,39,27.9375783,-82.4816762,ChIJGxVca2TDwogRJLchrAT7ZiE
TLC Pediatric Therapies,"6000 Rio Grande Ave Ste 202/204/206, Orlando, FL 32809",(407) 280-3776,https://tlcpediatrictherapy.com/,4.7,51,28.4710106,-81.401298,ChIJHXHelJN854gRMOhXWj7BmT0
Talk Active Speech & Occupational - Florida Mall,"730 W Sand Lake Rd #266, Orlando, FL 32809",(321) 445-1287,http://www.talkactiveclinic.com/,4.4,58,28.4474682,-81.3886606,ChIJ3-xIh0R854gR2cQU_PhigCc
Elevate Therapy Center,"6100 Lake Ellenor Dr #261, Orlando, FL 32809",(407) 968-7807,http://www.elevatetherapycenter.com/,4.9,88,28.468797799999997,-81.4023046,ChIJ44CEiWWaL0sR93x6eqsOF4o
Monarch Pediatric Speech Therapy,"6900 Tavistock Lakes Blvd Suite 400, Orlando, FL 32827",(407) 808-0324,http://www.monarchspeechtherapy.com/,4.8,14,28.372552499999998,-81.2788899,ChIJx9b_sDON3YgRM4bGPfxLgvY
Herman & Associates,"4401 E Colonial Dr Ste 107, Orlando, FL 32803",(407) 898-5060,http://www.hermanandassociates.com/,4.5,44,28.5543132,-81.33099659999999,ChIJtyoHMDdl54gRv_P82wVxXcI
Therapy Essentials Inc. Speech and Occupational Therapy,"12301 Lake Underhill Rd #249, Orlando, FL 32828",(407) 249-3344,http://www.tetherapy.com/,4.8,17,28.547328999999998,-81.20245,ChIJt87NLLRn54gR2GPYJP9J-JM
Kids First Therapy Center inc Orlando,"13574 Village Park Dr Ste 200, Orlando, FL 32837",(407) 930-1000,https://kidsfirsttc.com/,4.6,37,28.3684698,-81.4278274,ChIJCWMH51GH3YgRIc4SORVtJ4A
Talk Active Speech & Occupational - Metrowest,"1701 Park Center Dr 230 - 2nd floor, Orlando, FL 32835",(321) 445-1287,http://talkactiveclinic.com/,4.1,42,28.521533899999998,-81.4698562,ChIJ__bk0A9554gRPyIuU3adUck
First Words Speech Therapy,"1239 Mt Vernon St, Orlando, FL 32803",(407) 810-2773,http://www.firstwordstherapy.com/,5,1,28.5506031,-81.3628152,ChIJQbNBcUJ754gRimPQp8bCn5M
Beyond Therapy,"14055 Town Loop Blvd # 300, Orlando, FL 32837",(407) 857-6285,http://www.centralfltherapy.com/,3.7,63,28.3622916,-81.4212371,ChIJ-5rItC6H3YgRw_X6wOgzfUc
First Words Speech Therapy,"606 Sherburn Ct, Orlando, FL 32828",(407) 810-2773,http://www.firstwordstherapy.com/,5,2,28.540799,-81.197175,ChIJneUwcbBn54gRoGU65DOSY10
Orlando Health Cancer Institute Oncology Speech Pathology,"22 W Underwood St 4th floor, Orlando, FL 32806",(321) 841-1869,https://www.orlandohealth.com/services-and-specialties/rehabilitation/services/speech-language-pathology,4.9,1374,28.5261034,-81.3772219,ChIJBcxIZw9754gRK0MIfBvWIVM
Apple Patch Therapy,"1858 N Alafaya Trail #207, Orlando, FL 32826",(407) 900-5313,http://www.applepatchtherapy.com/,5,14,28.5705524,-81.2088294,ChIJB-2COytm54gRlJ83nVCxxHg
Integrated Neuro Speech Therapy,"3505 Lake Lynda Dr #200, Orlando, FL 32817",(407) 243-8657,https://instherapy.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=16011439910377442128,5,5,28.600887,-81.2218777,ChIJr0Ui-0YKUqQRshtaZxF4xxU
"Center for Speech & Language, LLC","5020 Goddard Ave, Orlando, FL 32804",(407) 299-1533,http://www.centerforspeechorlando.com/,5,5,28.6047577,-81.4020486,ChIJ79BrI5Rw54gRMFHugSEOxvo
AMP PEDIATRIC THERAPY,"6900 Tavistock Lakes Blvd Suite 400, Orlando, FL 32827",(407) 970-0824,https://www.amptherapyfl.com/,4.7,85,28.3726164,-81.2789822,ChIJzwMcGYdd54gR069jJGATXLc
Sproutlings Speech & Language Center,"9725 Selten Way Suite D, Orlando, FL 32827",(407) 600-5081,https://www.sproutlingsspeech.com/,5,20,28.3640719,-81.2482296,ChIJZx2WmzCH3YgRxiAih_hpivQ
Capital Speech & Language Therapy Services,"2930 Capital Medical Blvd, Tallahassee, FL 32308",(850) 294-3249,http://www.capitalspeechlanguagetherapy.com/,5,82,30.477021399999998,-84.2279207,ChIJt9qUf7RY7IgR8Uy7e6A6MQE
Caroline's Speech Retreat LLC | Tallahassee Pediatric Speech Therapy,"2840 Remington Green Cir, Tallahassee, FL 32308",(850) 212-2404,https://carolinesspeechretreat.com/,5,25,30.4901873,-84.2433145,ChIJk5oEu01f7IgRoTmcc-R03E0
Southern Speech Company,"2937 Kerry Forest Pkwy # B1, Tallahassee, FL 32309",(850) 890-4852,http://southernspeech.company/,5,24,30.5400527,-84.223413,ChIJt9YrK6gA2WIR-7SCk1j7KjA
Southeastern Therapy Services - Speech Therapy,"3139 Eliza Rd, Tallahassee, FL 32308",(850) 727-7928,http://www.webslp.com/,3.6,10,30.458055299999998,-84.22400499999999,ChIJQ3aNCx1f7IgRDIMnoiT0D18
"Speech Language Pathology Services of Tallahassee with Hilary C. Piotrowski, M.S., CCC-SLP","3845 Killearn Ct, Tallahassee, FL 32309",(850) 999-2577,,3.7,15,30.505232,-84.2468176,ChIJUfv_jT5f7IgRiHwY0OUVlS8
Pediatric Therapy Services Tallahassee,"2940 E Park Ave ste 2F, Tallahassee, FL 32301",(850) 800-7752,,5,1,30.442285599999998,-84.227859,ChIJv2mH6Bhd7IgR0rF_BIwC1eY
IMPACT Therapy,"1725 Hermitage Blvd, Tallahassee, FL 32308",(850) 325-6301,https://impacttlh.org/therapy/,3.4,7,30.4861458,-84.2457015,ChIJ-5T-1b9f7IgRUJ3FiGjzPzs
"Figure of Speech, LLC","1834B Jaclif Ct, Tallahassee, FL 32308",(850) 629-9105,http://figuresofspeechtherapy.com/,4.2,5,30.474649399999997,-84.2295467,ChIJybzqHXaKU24Rs80qX9LDUI8
"Children's Communication Center, Inc.","Armistead Rd, Tallahassee, FL 32308",(850) 386-8886,http://www.childrenscommunication.com/,5,4,30.47564,-84.262823,ChIJv_GJBGFf7IgRjSoBP3XQ4kc
Sunny Pediatric Services,"1738 Thomasville Rd, Tallahassee, FL 32303",(850) 909-5521,http://www.sunnyspeech.com/,5,10,30.4631726,-84.2724243,ChIJFcapZvr17IgR5SG2WV_CD8g
"Therapeutic Endeavors, LLC","2720 Apalachee Pkwy, Tallahassee, FL 32301",(850) 322-8709,https://therapeuticendeavors.com/,3.5,22,30.4284905,-84.237539,ChIJT1yY2QFf7IgRMfAAJWc-Y6A
Be Strong Therapy Services - Cancer Rehab,"1414 Piedmont Dr E Suite 100, Tallahassee, FL 32308",(850) 270-7374,https://www.bestrongtherapy.com/,5,73,30.496146,-84.2523448,ChIJY_wAPaZf7IgRECQ0-tPtccw
"Eloquent Speech and Language Therapy, LLC",,(850) 329-8918,http://www.eloquentslt.com/,5,2,30.214132,-84.17098349999999,ChIJ5Rsq6bVf7IgRyOwZOalpQ6Y
Flow Speech Therapy,,(850) 694-3082,https://www.flowslp.com/,5,1,30.649638999999997,-84.28101749999999,ChIJ-zAxFAkeGCMRP6_7AU5pZUU
Premier Therapy Services,"1809 Miccosukee Commons Dr STE 112, Tallahassee, FL 32308",(850) 210-1172,,5,3,30.466859399999997,-84.231824,ChIJvRMk0yBf7IgRaI_fbfmQPmA
Thrive Therapy,"4500 W Shannon Lakes Apartment 14, Tallahassee, FL 32309",(850) 518-7611,https://www.thrivetherapytally.com/,4,3,30.535515099999998,-84.21642539999999,ChIJZ4RXArBZ7IgRzdFO5xfpmAc
