name,phone,website,email,address,city,state,zip,source_state,latitude,longitude
Autism Society,(520) 770-1541,http://www.as-az.org/,info@as-az.org,2600 N Wyatt Dr,Tucson,AZ,85712,ALL_STATES,32.2543629,-110.8812693
Autism Spectrum Therapies at Evans Elementary School,(866) 727-8274,http://www.autismtherapies.com/,,4525 S College Ave,Tempe,AZ,85282,ALL_STATES,33.3834667,-111.933612
AZ ASSIST,(480) 779-0899,http://azassist.com/,,2150 E Southern Ave,Tempe,AZ,85204,ALL_STATES,33.3942638,-111.8937481
Beyond Autism,(602) 541-9743,https://www.beyond-autism.com/,info@beyond-autism.com,6508 E Cactus Rd,Scottsdale,AZ,85254,ALL_STATES,33.5976644,-111.9405117
Bierman ABA Autism Centers,(800) 931-8113,,,1729 W Greentree Dr,,AZ,,ALL_STATES,33.3314936,-111.9688327
Bierman ABA Autism Centers,(800) 931-8113,,,8444 North 90th Street,,AZ,,ALL_STATES,33.5576724,-111.8892324
Brilliant Minds,(815) 508-5303,,,,,AZ,,ALL_STATES,34.0489281,-111.0937311
Center For Autism And Related Disorders,(602) 325-2485,https://www.centerforautism.com/,info@centerforautism.com,2400 W Dunlap Ave Suite 100,Phoenix,AZ,85021,ALL_STATES,33.5683767,-112.1114444
Centria Healthcare,(855) 772-8847,,,2720 E Thomas Road,,AZ,,ALL_STATES,33.4808164,-112.0230895
Debbie Mace,(928) 821-0422,,bendebbiemace@yahoo.com,1350 wagon trail,Camp Verde,AZ,,ALL_STATES,34.5892059,-111.8741452
Developmental Enrichment Centers (DEC),(602) 314-4214,http://dec-az.org/,,16809 N 53rd Ave 2,Glendale,AZ,85306,ALL_STATES,33.6376863,-112.1727359
First Place AZ,(602) 733-6525,http://www.firstplaceaz.org/,info@firstplaceaz.org,717 E Maryland Ave 110,Phoenix,AZ,85014,ALL_STATES,33.5306426,-112.0642913
Freedom Behavior Consulting,(520) 481-0059,,,2985 W. Dakota Vista Way,,AZ,,ALL_STATES,32.1587057,-111.0309005
Kyo,(877) 264-6747,https://kyocare.com/our-services/sign-up/,info@kyocare.com,"""3707 E Southern Ave	Floors 1 and 2	Mesa	AZ	85206""",Mesa,AZ,85206,ALL_STATES,33.3924358,-111.7511987
Lauren's Institute for Education,(480) 621-8361,,,1305 South Gilbert Road,,AZ,,ALL_STATES,33.3256365,-111.7879227
Lauren's Institute for Education,(480) 621-8361,,,1305 S. Gilbert Rd.,,AZ,,ALL_STATES,33.3256365,-111.7879227
Laurens Institute For Education,(480) 621-8361,http://laurensinstitute.org/,,1305 S Gilbert Rd,Gilbert,AZ,85296,ALL_STATES,33.3256365,-111.7879227
Lexington Life Academy,(480) 630-1507,http://lexingtonservices.com/,,9132 E Southern Ave,Mesa,AZ,85209,ALL_STATES,33.3938737,-111.6343475
MeBe,(619) 606-5858,,,2150 S. Country Club Dr.,,AZ,,ALL_STATES,33.3756629,-111.8431899
New Way Academy,(602) 629-6850,https://newwayacademy.org/,,5048 E Oak St,Phoenix,AZ,85008,ALL_STATES,33.4731881,-111.9727039
Positive ABA,(480) 361-1025,,,2160 E Fry Blvd.,,AZ,,ALL_STATES,31.5530865,-110.2760543
Positive ABA,(480) 361-1025,,,5424 E Broadway Rd.,,AZ,,ALL_STATES,33.4082077,-111.7144372
Positive ABA,(480) 361-1025,,,18521 E. Queen Creek Rd,,AZ,,ALL_STATES,33.265637,-111.6834931
Positive ABA LLC,(480) 361-1025,https://www.positiveaba.org/,info@positiveaba.org,18521 E Queen Creek Rd,Queen Creek,AZ,85142,ALL_STATES,33.265637,-111.6834931
Raising Special Kids,(602) 242-4366,http://www.raisingspecialkids.org/,info@raisingspecialkids.org,5025 Washington St 204,Phoenix,AZ,85034,ALL_STATES,33.4463265,-111.9737077
Sami's Angels ABA Services,(480) 248-1664,www.SamisAngelsABA.com,Admin@samisangelsaba.com,East Valley of Phoenix,Gilbert,AZ,,ALL_STATES,33.3528264,-111.789027
SARRC's Colonel Harland D. Sanders Center for Autism Studies,(602) 340-8717,https://www.autismcenter.org/,sarrc@autismcenter.org,2225 N 16th Street Phoenix,Phoenix,AZ,85006,ALL_STATES,33.4722311,-112.0473164
SARRC's Sybil B. Harrington Campus for Exceptional Children,(602) 340-8717,https://www.autismcenter.org/,sarrc@autismcenter.org,300 N 18th Street Phoenix,Phoenix,AZ,85006,ALL_STATES,33.4518309,-112.0438117
SARRC's Vocational & Life Skills Academy,(602) 340-8717,https://www.autismcenter.org/,sarrc@autismcenter.org,2225 N 16th Street Phoenix,Phoenix,AZ,85006,ALL_STATES,33.4722311,-112.0473164
SEEDs for Autism,(602) 253-4471,https://www.seedsforautism.org/,info@seedsforautism.org,3420 S 7th St,Phoenix,AZ,85040,ALL_STATES,33.415787,-112.0654222
Sonoran Learning and Behavioral Services,(602) 882-4238,https://www.sonoranlbs.com/,admin@sonoranlbs.com,34225 N 27th Dr Bldg 4B,Phoenix,AZ,85085,ALL_STATES,33.7959039,-112.1165676
Southwest Autism Research & Resource Center,(602) 340-8717,https://www.autismcenter.org/,sarrc@autismcenter.org,300 N 18th St,Phoenix,AZ,85006,ALL_STATES,33.4518309,-112.0438117
Southwest Behavioral & Health Services,(602) 265-8338,http://www.sbhservices.org/locations-contact-info,info@sbhservices.org,3450 N 3rd St,Phoenix,AZ,85012,ALL_STATES,33.4884543,-112.0699185
St. Dominic Savio Academy,(480) 659-5456,http://www.stdomsavio.com/contact.html,info@stdomsavio.com,550 West Warner Road,Chandler,AZ,85225,ALL_STATES,33.3356819,-111.8500894
Strong Beginnings,(928) 782-1338,https://strongbeginnings-aba.com/,hello@strongbeginnings-aba.com,2741 S 8th Ave ste c,Yuma,AZ,85364,ALL_STATES,32.6778602,-114.6284332
The Autism Society Of Southern Arizona - Santa Cruz,(520) 860-5402,,,13 Pioneer Ct,Nogales,AZ,85621,ALL_STATES,31.37803389999999,-110.8497992
The Children's Center,(623) 915-0345,http://thechildrenscenteraz.org/,admin@ccnsaz.org,5430 W Glenn Dr,Glendale,AZ,85301,ALL_STATES,33.5403943,-112.1759952
"Thrive Autism Services, PLLC",(480) 888-5287,https://www.thrive-autism.com/,admin@thrive-autism.com,70 S Val Vista Dr,Gilbert,AZ,85296,ALL_STATES,33.3492557,-111.7572274
Thriving Minds Academy,(480) 806-8000,www.thrivingmindsaz.com,info@thrivingmindsaz.com,850 S Ironwood Dr Ste #110,,AZ,85120,ALL_STATES,33.4072951,-111.5641573
Trumpet Behavioral Health,(602) 535-8341,https://tbh.com/,,1166 S Gilbert Rd #106,Gilbert,AZ,85296,ALL_STATES,33.3288969,-111.7951379
Tucson Alliance For Autism,(520) 319-5857,http://www.tucsonallianceforautism.com,,1002 N Country Club Rd,Tucson,AZ,85716,ALL_STATES,32.234455,-110.9265538
Young Mind Center,(602) 237-6653,http://www.doctorwood.org/youngmindcenter.html,office@youngmindcenter.org,51 E Monterey Way,Phoenix,AZ,85012,ALL_STATES,33.4851315,-112.0713837
A Happy Family Behavioral Services,(818) 330-5328,https://www.ahappyfam.com/,,16000 Ventura Blvd Suite 1103,Los Angeles,CA,91436,ALL_STATES,34.1559313,-118.4818437
A Is For Apple,(877) 991-0009,http://aisforapple.com/,intake@aisforapple.com,1479 Saratoga Avenue,San Jose,CA,,ALL_STATES,37.2961523,-121.9874327
ABA & Verbal Behavior Group,(619) 281-6067,,,3934 Murphy Canyon Rd.,,CA,,ALL_STATES,32.8161685,-117.1179994
Abby Twyman,(949) 756-8799,https://www.tbh.com/,,Orange County,Newport Beach,CA,92660,ALL_STATES,33.6301328,-117.8721676
About Behavior Consulting,(714) 380-1914,,,201 S Anita Dr,,CA,,ALL_STATES,33.7861493,-117.8808222
ABS Kids,(801) 935-4171,,,123 9600 Center Ave.,,CA,,ALL_STATES,34.0791886,-117.5800937
ABS Kids,(801) 935-4171,,,32326 Clinton Keith Road,,CA,,ALL_STATES,33.590643,-117.2497447
ABS Kids,(801) 935-4171,,,2421 Portola Road,,CA,,ALL_STATES,34.2516196,-119.2249004
ABS Kids,(801) 935-4171,,,2820 Camino Del Rio South,,CA,,ALL_STATES,32.7708299,-117.1339297
Acuity Behavior Solutions,(714) 696-2862,https://www.acuitybehaviorsolutions.com/,info@acuitybehaviorsolutions.com,1820 W Orangewood Ave Suite 110,Orange,CA,92868,ALL_STATES,33.7950796,-117.8717669
"Adamant Behavioral Services, Inc.",(818) 330-9006,,,2233 Honolulu Avenue,,CA,,ALL_STATES,34.2054406,-118.2261899
"Advance Kids, LLC",(916) 363-6103,,,9755 Lincoln Village Drive,,CA,,ALL_STATES,38.5624533,-121.3325785
"Advance Kids, LLC",(916) 363-6103,,,2800 Stonecreek Drive,,CA,,ALL_STATES,38.6168758,-121.493103
Alanna Larriba,(831) 424-5565,https://www.tbh.com/,,Santa Cruz,Capitola,CA,95010,ALL_STATES,36.9764598,-121.9501551
Alexandra Kane,(650) 627-8045,https://www.tbh.com/,,San Francisco Peninsula,San Bruno,CA,94066,ALL_STATES,37.6210696,-122.4297369
Alexia Barnes,(949) 756-8799,https://www.tbh.com/,,Orange County,Newport Beach,CA,92660,ALL_STATES,33.6301328,-117.8721676
Alice Arabian,(818) 620-2143,www.elevatedaba.com,info@elevatedaba.com,Santa Clarita,Santa Clarita,CA,,ALL_STATES,34.3916641,-118.542586
Amanda McCullough,(949) 756-8799,https://www.tbh.com/,,Orange County,Newport Beach,CA,92660,ALL_STATES,33.6301328,-117.8721676
Amy Harbison,(408) 885-0805,https://www.tbh.com/,,1401 Parkmoor Ave,San Jose,CA,95126,ALL_STATES,37.3169952,-121.9127316
Angelica Aguirre,(408) 885-0805,https://www.tbh.com/,,1401 Parkmoor Ave,San Jose,CA,95126,ALL_STATES,37.3169952,-121.9127316
Ascend Diagnostic & Support Services,(916) 525-8866,https://www.ascendsupportservices.com/,lizzyfuller@ascendsupportservices.com,2717 Cottage Way,Sacramento,CA,95825,ALL_STATES,38.6037198,-121.3991792
Ashley Langeliers,(925) 462-2281,https://www.tbh.com/,,Dublin,Dublin,CA,94568,ALL_STATES,37.70491080000001,-121.9096158
Ashton Benedickt,(925) 462-2281,https://www.tbh.com/,,Dublin,Dublin,CA,94568,ALL_STATES,37.70491080000001,-121.9096158
"Autism Behavior Services, Inc",(855) 581-0100,https://www.autismbehaviorservices.com/,info@autismbehaviorservices.com,14281 7th St,Victorville,CA,92395,ALL_STATES,34.5102902,-117.3186068
Autism Connections,(805) 541-7130,,,4251 S. Higuera Street,,CA,,ALL_STATES,35.241581,-120.6762476
Avery Blackburn,(408) 885-0805,https://www.tbh.com/,,1401 Parkmoor Ave,San Jose,CA,95126,ALL_STATES,37.3169952,-121.9127316
Bay ABA,(502) 494-8897,,,3331 Brittan Ave,,CA,,ALL_STATES,37.4815796,-122.2862235
Bay ABA,(502) 494-8897,,,3130 La Selva Street,,CA,,ALL_STATES,37.5431016,-122.2853022
Bay ABA,(502) 494-8897,,,1625 The Alameda,,CA,,ALL_STATES,37.3355588,-121.9174925
Behavior and Education Inc,(833) 223-8326,http://baetherapy.com/,contact@baetherapy.com,1805 W Avenue K Unit MC3,Manhattan Beach,CA,93534,ALL_STATES,34.6756796,-118.1637646
Behavior and Education Inc,(833) 223-8326,http://baetherapy.com/,contact@baetherapy.com,15335 Morrison Street,Sherman Oaks,CA,91403,ALL_STATES,34.1611556,-118.4676112
Behavior and Education Inc,(833) 223-8326,http://baetherapy.com/,contact@baetherapy.com,10805 Holder Street,Cypress,CA,90630,ALL_STATES,33.8054271,-118.0206054
Behavior and Education Inc,(833) 223-8326,http://baetherapy.com/,contact@baetherapy.com,1050 Lakes Drive,West Covina,CA,91790,ALL_STATES,34.0714899,-117.9228954
"Behavior and Education, Inc.",(833) 223-8326,,,3281 E. Guasti Rd,,CA,,ALL_STATES,34.0654044,-117.5793001
"Behavior and Education, Inc.",(833) 223-8326,,,2780 Skypark Drive,,CA,,ALL_STATES,33.8042433,-118.3359789
"Behavior and Education, Inc.",(833) 223-8326,,,15335 Morrison Street,,CA,,ALL_STATES,34.1611556,-118.4676112
"Behavior and Education, Inc.",(833) 223-8326,,,10805 Holder Street,,CA,,ALL_STATES,33.8054271,-118.0206054
"Behavior and Education, Inc.",(833) 223-8326,,,190 Sierra Ct,,CA,,ALL_STATES,43.86258300000001,-79.53463760000001
"Behavior and Education, Inc.",(833) 223-8326,,,15428 Civic Dr,,CA,,ALL_STATES,34.5101657,-117.3271961
"Behavior and Education, Inc.",(833) 223-8326,,,1230 Rosecrans Ave,,CA,,ALL_STATES,33.901417,-118.3921497
Behavior Genius,(909) 749-5204,,,1500 S Haven Ave,,CA,,ALL_STATES,34.04678800000001,-117.5766212
Behavior Genius,(909) 749-5204,,,12021 Jacaranda Ave.,,CA,,ALL_STATES,34.4696542,-117.262374
Behavior Genius,(909) 749-5204,,,8577 Haven Avenue,,CA,,ALL_STATES,34.0978501,-117.5751974
Believing In Change,(760) 659-6574,,,110 Civic Center Dr,,CA,,ALL_STATES,33.204855,-117.2366086
Bertha Taylor,(858) 695-9444,https://www.fitsot.com/,Admin@FitsTherapy.com,9565 Waples St Suite 100,San Diego,CA,92121,ALL_STATES,32.9031617,-117.1818141
Best Behavior LLC,(530) 232-0845,,,1768 West Street,,CA,,ALL_STATES,37.6448364,-122.1164358
Brian Long,(650) 627-8045,https://www.tbh.com/,,San Francisco Peninsula,San Bruno,CA,94066,ALL_STATES,37.6210696,-122.4297369
California Autism Center & Learning Group,(559) 492-7900,https://www.calautismcenter.org/,info@calautismcenter.org,4152 W Swift Ave STE 104,Fresno,CA,93722,ALL_STATES,36.7956167,-119.8649016
California Autism Center & Learning Group,(559) 492-7900,https://www.calautismcenter.org/,info@calautismcenter.org,2517 W Shaw Ave Suite 107,Fresno,CA,93711,ALL_STATES,36.8072849,-119.8378284
Catherine Miltenberger,(408) 885-0805,https://www.tbh.com/,,1401 Parkmoor Ave,San Jose,CA,95126,ALL_STATES,37.3169952,-121.9127316
Celina Hernandez-Luna,(831) 424-5565,https://www.tbh.com/,,Monterey Bay,Capitola,CA,93907,ALL_STATES,36.9752283,-121.953293
Centria Healthcare,(855) 772-8847,,,E. 151 Kalmus Drive,,CA,,ALL_STATES,33.6718692,-117.8820561
Chris Missias,(707) 826-0872,https://www.tbh.com/,,Humboldt,Arcata,CA,95521,ALL_STATES,40.8665166,-124.0828396
Christina Gillen,(925) 462-2281,https://www.tbh.com/,,Dublin,Dublin,CA,94568,ALL_STATES,37.70491080000001,-121.9096158
Christina Henderson,(408) 885-0805,https://www.tbh.com/,,1401 Parkmoor Ave,San Jose,CA,95126,ALL_STATES,37.3169952,-121.9127316
Christina Sanders,(408) 885-0805,https://www.tbh.com/,,1401 Parkmoor Ave,San Jose,CA,95126,ALL_STATES,37.3169952,-121.9127316
Christy Mandon,(650) 627-8045,https://www.tbh.com/,,San Francisco Peninsula,San Bruno,CA,94066,ALL_STATES,37.6210696,-122.4297369
Comprehensive Autism Center,(951) 813-4034,https://cac.co/,,26720 Ynez Ct,Temecula,CA,92590,ALL_STATES,33.5127017,-117.1507003
Cortica Advanced Neurological Therapies for Autism,(858) 304-6440,,,7090 Miratech Drive,,CA,,ALL_STATES,32.8984912,-117.1712758
Cortica Advanced Neurological Therapies for Autism,(858) 304-6440,,,5870 El Camino Real,,CA,,ALL_STATES,33.1339807,-117.2702324
Cortica Advanced Neurological Therapies for Autism,(858) 304-6440,,,611 N Brand Blvd,,CA,,ALL_STATES,34.1552971,-118.2556726
Cortica Advanced Neurological Therapies for Autism,(858) 304-6440,,,16800 Aston St,,CA,,ALL_STATES,33.7000384,-117.8431475
Cortica Advanced Neurological Therapies for Autism,(858) 304-6440,,,4000 Civic Center Dr,,CA,,ALL_STATES,38.0044896,-122.5382765
