name,address,phone,website,rating,reviews,hours,gps_lat,gps_lng,google_url
Merritt Speech & Learning,"1309-110 St Johns Bluff Rd N, Jacksonville, FL 32225",(904) 721-4122,/url?q=http://merrittspeech.com/&opi=79508299&sa=U&ved=0ahUKEwiO4LeewJ-RAxWBKEQIHcEvBgcQ61gIyAIoDQ&usg=AOvVaw0HZyGQjmKzzw94D22i2ZDM,4.7,12,Open · Closes 6 PM,30.3430017,-81.52266279999999,ChIJCbB3lam05YgR8OXYAX1Wylo
Clear Communication Therapy,"3955 Riverside Ave #216, Jacksonville, FL 32205",(831) 200-4414,/url?q=https://www.clearcommtherapy.com/&opi=79508299&sa=U&ved=0ahUKEwiO4LeewJ-RAxWBKEQIHcEvBgcQ61gI5AIoDQ&usg=AOvVaw20lpbOAfEtEhugCbaZpmZ-,5,10,Open · Closes 6 PM,30.2913519,-81.7118966,ChIJR1OWohVL5IgRVpO8RI05Pns
Jacksonville Speech & Hearing Center,"1010 N Davis St, Jacksonville, FL 32209",(904) 355-3403,/url?q=http://www.shcjax.org/&opi=79508299&sa=U&ved=0ahUKEwiO4LeewJ-RAxWBKEQIHcEvBgcQ61gIhAMoDQ&usg=AOvVaw2l-Pz46_gn1WFRb7O6V71U,4.5,148,Open · Closes 5:30 PM,30.336858699999997,-81.6675635,ChIJA79YkSS35YgRz3jUm1P9VXE
Coastal Pediatric Therapy Center,"2730 Isabella Blvd #10, Jacksonville Beach, FL 32250",(904) 372-4070,/url?q=http://coastaltherapy.net/&opi=79508299&sa=U&ved=0ahUKEwiO4LeewJ-RAxWBKEQIHcEvBgcQ61gIoAMoDQ&usg=AOvVaw0O9d2IquoVRcgXeR1c4CQF,4.8,101,Open · Closes 5:30 PM,30.266372099999998,-81.3907859,ChIJbyXB6clJ5IgRo121lQS5vEc
All Together Wellness,"1157 Beach Blvd, Jacksonville Beach, FL 32250",(904) 450-5061,/url?q=http://www.alltogetherwellness.net/&opi=79508299&sa=U&ved=0ahUKEwiO4LeewJ-RAxWBKEQIHcEvBgcQ61gIvgMoDQ&usg=AOvVaw1G9J-BRlXhBDKPK67PoRte,5,46,Open · Closes 5 PM,30.288338699999997,-81.4023079,ChIJURAyriGAgmsRQvxmPyGfUus
Bridge Therapy,"8833 Perimeter Park Blvd STE 404, Jacksonville, FL 32216",(904) 552-1588,/url?q=https://mybridgetherapy.com/&opi=79508299&sa=U&ved=0ahUKEwiO4LeewJ-RAxWBKEQIHcEvBgcQ61gI3AMoDQ&usg=AOvVaw2G-1IFrbNEbvlx2VkTkeN0,5,8,Open · Closes 6 PM,30.2512792,-81.55526239999999,ChIJKcXKqgDL5YgRRdqdIjC9JgA
"North Florida Therapy Associates, LLC","12025 San Jose Blvd #101, Jacksonville, FL 32223",(904) 880-1444,/url?q=http://northfloridatherapy.com/&opi=79508299&sa=U&ved=0ahUKEwiO4LeewJ-RAxWBKEQIHcEvBgcQ61gI-QMoDQ&usg=AOvVaw3KIQ0SY0WC4eyDfU9z0RPo,5,8,Open · Closes 6 PM,30.1524827,-81.631326,ChIJD1-dK_XO5YgRek6La0Yu9p4
Sunshine Speech,"4600 Beach Blvd, Jacksonville, FL 32207",,/url?q=http://sunshinespeechfl.com/&opi=79508299&sa=U&ved=0ahUKEwiO4LeewJ-RAxWBKEQIHcEvBgcQ61gIkQQoCQ&usg=AOvVaw2nQJ4Q0SEpKjNernRCelm7,5,8,Open · Closes 5 PM,30.2977052,-81.6194845,ChIJT5DGhEuiJgkRaFyltaJeHtM
"Great Strides Pediatric Rehabilitation- Bartram Park, FL","13241 Bartram Park Blvd Ste 1913, Jacksonville, FL 32258",(904) 886-3228,/url?q=https://www.h2health.com/locations/great-strides-pediatric-rehabilitation/bartram/&opi=79508299&sa=U&ved=0ahUKEwiO4LeewJ-RAxWBKEQIHcEvBgcQ61gIsQQoDQ&usg=AOvVaw0HxA6wempN3TyU-juC49gX,4.6,53,Open · Closes 6 PM,30.1312245,-81.5403841,ChIJ3W0qd9TN5YgRQU9ly7Rfn3Y
"Great Strides Pediatric Rehabilitation- Jax Beach, FL","340 16th Ave N suite b, Jacksonville Beach, FL 32250",(904) 886-3228,/url?q=https://www.h2health.com/locations/great-strides-pediatric-rehabilitation/jacksonville-beach/&opi=79508299&sa=U&ved=0ahUKEwiO4LeewJ-RAxWBKEQIHcEvBgcQ61gIzwQoDQ&usg=AOvVaw2Akgr2cB_3W09haOyYlTUK,4.7,46,Open · Closes 5 PM,30.3035684,-81.3957293,ChIJ77U38LVJ5IgRSJFwiaqEbYs
