name,place_id,url,website,email,phone,overview,full_address,street,city,state,zipcode,latitude,longitude,status,services,treatment_setting,ages_served,languages,insurance,rating,reviews,type,error_message
"Speech Matters, LLC","11 Chestnut St #7, Andover, MA 01810",(978) 296-4486,http://www.speechmattersma.com/,,978) 296-4486,Speech pathologist,"11 Chestnut St #7, Andover, MA 01810",11 Chestnut St #7,Andover,MA,01810,42.654773,-71.140457,🆕 Newly geocoded,,,,,,"Speech Matters, LLC",Speech pathologist,,
Jody Sastry Speech Therapy,"21 Marshview Cir, East Sandwich, MA 02537",(774) 413-9099,http://www.jodysastry.com/,,774) 413-9099,Speech pathologist,"21 Marshview Cir, East Sandwich, MA 02537",21 Marshview Cir,East Sandwich,MA,02537,41.746615,-70.436153,🆕 Newly geocoded,,,,,,Jody Sastry Speech Therapy,Speech pathologist,,
"Sarah Budney - Milestones Speech Therapy, LLC","26 Brighton St Suite 315, Belmont, MA 02478",(781) 696-7523,http://www.milestonesspeech.com/,,781) 696-7523,Speech pathologist,"26 Brighton St Suite 315, Belmont, MA 02478",26 Brighton St Suite 315,Belmont,MA,02478,42.395216,-71.158891,🆕 Newly geocoded,,,,,,"Sarah Budney - Milestones Speech Therapy, LLC",Speech pathologist,,
Sunshine Speech Therapy LLC,"310 Maple Ave Suite L06C, Barrington, RI 02806",(401) 595-2150,https://thesunshinespeechie.com/&opi=79508299&sa=U&ved=0ahUKEwil28evyJ-RAxUEEEQIHZCMAHcQ61gIeCgN&usg=AOvVaw1Jh9PVWVwgMgjcfrmmcZXt,,401) 595-2150,Speech pathologist,"310 Maple Ave Suite L06C, Barrington, RI 02806",310 Maple Ave Suite L06C,Barrington,RI,02806,41.738644,-71.318477,🆕 Newly geocoded,,,,,,Sunshine Speech Therapy LLC,Speech pathologist,,
Big Mouth Speech,"1565 Main St Building 1, Unit 1B, Tewksbury, MA 01876",(978) 257-1564,http://www.bigmouthspeech.com/,,978) 257-1564,Speech pathologist,"1565 Main St Building 1, Unit 1B, Tewksbury, MA 01876",1565 Main St Building 1,Tewksbury,MA,01876,42.597207,-71.218221,🆕 Newly geocoded,,,,,,Big Mouth Speech,Speech pathologist,,
Competent Communicators LLC - Pediatric Speech Therapy,"1445 Wampanoag Trl #108a, Riverside, RI 02915",(401) 584-2425,https://competentcommunicators.org/&opi=79508299&sa=U&ved=0ahUKEwil28evyJ-RAxUEEEQIHZCMAHcQ61gIGigN&usg=AOvVaw2nLbGTHAYRd1uWIPckLoCn,,401) 584-2425,Speech pathologist,"1445 Wampanoag Trl #108a, Riverside, RI 02915",1445 Wampanoag Trl #108a,Riverside,RI,02915,41.775189,-71.327975,🆕 Newly geocoded,,,,,,Competent Communicators LLC - Pediatric Speech Therapy,Speech pathologist,,
Resonate Therapy Solutions LLC,"80 Sky Top Ln, Dunstable, MA 01827",(617) 372-3051,https://www.resonatetherapysolutions.com/,,617) 372-3051,Speech pathologist,"80 Sky Top Ln, Dunstable, MA 01827",80 Sky Top Ln,Dunstable,MA,01827,42.69913,-71.50652,🆕 Newly geocoded,,,,,,Resonate Therapy Solutions LLC,Speech pathologist,,
Speech Language Pathology Center,"99 Longwater Cir Ste 100, Norwell, MA 02061",(781) 792-2700,http://www.slpcenter.com/,,781) 792-2700,Speech pathologist,"99 Longwater Cir Ste 100, Norwell, MA 02061",99 Longwater Cir Ste 100,Norwell,MA,02061,42.155556,-70.882593,🆕 Newly geocoded,,,,,,Speech Language Pathology Center,Speech pathologist,,
Let's Talk Speech & Occupational Therapy Services,"120 W Center St Units 2, 3, & 4, West Bridgewater, MA 02379",(508) 230-8181,https://www.ltspeech.com/,,508) 230-8181,Speech pathologist,"120 W Center St Units 2, 3, & 4, West Bridgewater, MA 02379",120 W Center St Units 2,West Bridgewater,MA,02379,42.017562,-71.014836,🆕 Newly geocoded,,,,,,Let's Talk Speech & Occupational Therapy Services,Speech pathologist,,
Saint Vincent Speech Therapy,"123 Summer St, Worcester, MA 01608",(508) 363-6205,https://www.stvincenthospital.com/services/physical-therapy/speech-language-pathology,,508) 363-6205,Speech pathologist,"123 Summer St, Worcester, MA 01608",123 Summer St,Worcester,MA,01608,42.265294,-71.796855,🆕 Newly geocoded,,,,,,Saint Vincent Speech Therapy,Speech pathologist,,
Jackson Speech & Language Services,"16 Chestnut St Suite 102, Foxborough, MA 02035",(508) 698-7973,http://www.jacksonspeech.com/,,508) 698-7973,Speech pathologist,"16 Chestnut St Suite 102, Foxborough, MA 02035",16 Chestnut St Suite 102,Foxborough,MA,02035,42.076212,-71.25594,🆕 Newly geocoded,,,,,,Jackson Speech & Language Services,Speech pathologist,,
"Results Speech and Language Therapy, PLLC","51 U.S. Rte 1, Scarborough, ME 04074",(207) 400-5368,https://resultsspeechtherapy.com/,,207) 400-5368,Speech pathologist,"51 U.S. Rte 1, Scarborough, ME 04074",51 U.S. Rte 1,Scarborough,ME,04074,43.608226,-70.314711,🆕 Newly geocoded,,,,,,"Results Speech and Language Therapy, PLLC",Speech pathologist,,
Merrimack Valley Speech,"1 Meeting House Rd #7, Chelmsford, MA 01824",(978) 254-3342,https://www.merrimackvalleyspeech.com/,,978) 254-3342,Speech pathologist,"1 Meeting House Rd #7, Chelmsford, MA 01824",1 Meeting House Rd #7,Chelmsford,MA,01824,42.601441,-71.350101,🆕 Newly geocoded,,,,,,Merrimack Valley Speech,Speech pathologist,,
Little Garden Speech & Language Therapy Services LLC.,"820b Taunton Ave, Seekonk, MA 02771",(508) 639-5043,https://www.littlegardenspeechtherapy.org/,,508) 639-5043,Speech pathologist,"820b Taunton Ave, Seekonk, MA 02771",820b Taunton Ave,Seekonk,MA,02771,41.830582,-71.311736,🆕 Newly geocoded,,,,,,Little Garden Speech & Language Therapy Services LLC.,Speech pathologist,,
Achieve Speech & Language Services,"7 Beeches Ln Unit #10, Woodstock, CT 06281",(860) 821-0629,http://www.achievectslp.com/,,860) 821-0629,Speech pathologist,"7 Beeches Ln Unit #10, Woodstock, CT 06281",7 Beeches Ln Unit #10,Woodstock,CT,06281,41.931754,-71.933618,🆕 Newly geocoded,,,,,,Achieve Speech & Language Services,Speech pathologist,,
"Ellen Gellineau, MS, CCC-SLP","101 Metropolitan Ave, Ashland, MA 01721",(617) 320-0552,http://ellengspeechtherapy.com/,,617) 320-0552,Speech pathologist,"101 Metropolitan Ave, Ashland, MA 01721",101 Metropolitan Ave,Ashland,MA,01721,42.24932,-71.464045,🆕 Newly geocoded,,,,,,"Ellen Gellineau, MS, CCC-SLP",Speech pathologist,,
title,address,phone,,,,type,,,,,,,,❌ Error - no data,,,,,,title,type,,No address or coordinates found
The Speech Pathology Group & Rehab Services of CT,"10 Progress Dr #2B, Shelton, CT 06484",(475) 239-5512,http://www.spg-ct.com/,,475) 239-5512,Speech pathologist,"10 Progress Dr #2B, Shelton, CT 06484",10 Progress Dr #2B,Shelton,CT,06484,41.272781,-73.131084,🆕 Newly geocoded,,,,,,The Speech Pathology Group & Rehab Services of CT,Speech pathologist,,
Orange Pediatric Therapy,"308 Racebrook Rd, Orange, CT 06477",(203) 920-1885,https://www.cheshirefitnesszone.com/,,203) 920-1885,Speech pathologist,"308 Racebrook Rd, Orange, CT 06477",308 Racebrook Rd,Orange,CT,06477,41.268624,-73.001001,🆕 Newly geocoded,,,,,,Orange Pediatric Therapy,Speech pathologist,,
Hope For Stuttering Speech Therapy,"284 Broad St, Milford, CT 06460",(203) 349-2727,http://www.hopeforstuttering.com/,,203) 349-2727,Speech pathologist,"284 Broad St, Milford, CT 06460",284 Broad St,Milford,CT,06460,41.2175,-73.06406,🆕 Newly geocoded,,,,,,Hope For Stuttering Speech Therapy,Speech pathologist,,
"Alida Engel, Center for Speech and Learning","801 Edgewood Ave, New Haven, CT 06515",(203) 397-3224,https://www.centerforspeechandlearning.com/AboutUs.php,,203) 397-3224,Speech pathologist,"801 Edgewood Ave, New Haven, CT 06515",801 Edgewood Ave,New Haven,CT,06515,41.318677,-72.9629,🆕 Newly geocoded,,,,,,"Alida Engel, Center for Speech and Learning",Speech pathologist,,
KidSense Therapy Group,"209 Cherry St, Milford, CT 06460",(203) 874-5437,http://www.kidsensetherapygroup.com/,,203) 874-5437,Speech pathologist,"209 Cherry St, Milford, CT 06460",209 Cherry St,Milford,CT,06460,41.229576,-73.048345,🆕 Newly geocoded,,,,,,KidSense Therapy Group,Speech pathologist,,
More to Say Pediatric Development & Therapy,"220 Main St Suite 3B, Oxford, CT 06478",(203) 828-6790,https://www.moretosayct.com/?utm_source=gbp&utm_medium=organic&utm_campaign=oxford,,203) 828-6790,Speech pathologist,"220 Main St Suite 3B, Oxford, CT 06478",220 Main St Suite 3B,Oxford,CT,06478,41.424298,-73.106656,🆕 Newly geocoded,,,,,,More to Say Pediatric Development & Therapy,Speech pathologist,,
Communicate With Me Speech & Occupational Therapy,"1062 Barnes Rd # 207, Wallingford, CT 06492",(203) 626-9354,http://www.cwmslp.com/,,203) 626-9354,Speech pathologist,"1062 Barnes Rd # 207, Wallingford, CT 06492",1062 Barnes Rd # 207,Wallingford,CT,06492,41.483246,-72.773446,🆕 Newly geocoded,,,,,,Communicate With Me Speech & Occupational Therapy,Speech pathologist,,
Fairfield Pediatric Speech Therapy,"Lower Level, 400 Post Rd UNIT 8, Fairfield, CT 06824",(203) 685-7622,http://fairfieldpediatricspeech.com/,,203) 685-7622,Speech pathologist,"Lower Level, 400 Post Rd UNIT 8, Fairfield, CT 06824",Lower Level,Fairfield,CT,06824,41.150531,-73.242318,🆕 Newly geocoded,,,,,,Fairfield Pediatric Speech Therapy,Speech pathologist,,
"Baron Therapy Services, LLC","15 Research Dr STE 1, Woodbridge, CT 06525",(203) 387-1401,http://www.barontherapy.com/,,203) 387-1401,Speech pathologist,"15 Research Dr STE 1, Woodbridge, CT 06525",15 Research Dr STE 1,Woodbridge,CT,06525,41.34533,-72.97462,🆕 Newly geocoded,,,,,,"Baron Therapy Services, LLC",Speech pathologist,,
Word of Mouth SLP,"Woodlawn Dr, Trumbull, CT 06611",(551) 486-3153,https://www.wordofmouthadultslp.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=6599615167948894044,,551) 486-3153,Speech pathologist,"Woodlawn Dr, Trumbull, CT 06611",Woodlawn Dr,Trumbull,CT,06611,41.251859,-73.208511,🆕 Newly geocoded,,,,,,Word of Mouth SLP,Speech pathologist,,
"Collaborative Speech and Language Therapy, LLC","10 Rexview Cir, Trumbull, CT 06611",(203) 520-4258,http://collabspeech.com/,,203) 520-4258,Speech pathologist,"10 Rexview Cir, Trumbull, CT 06611",10 Rexview Cir,Trumbull,CT,06611,41.248833,-73.203831,🆕 Newly geocoded,,,,,,"Collaborative Speech and Language Therapy, LLC",Speech pathologist,,
The Speech Pathology Group & Rehab Services of CT,"493 Heritage Rd suite 5c 2, Southbury, CT 06488",(475) 239-5512,http://www.spg-ct.com/,,475) 239-5512,Speech pathologist,"493 Heritage Rd suite 5c 2, Southbury, CT 06488",493 Heritage Rd suite 5c 2,Southbury,CT,06488,41.489923,-73.225746,🆕 Newly geocoded,,,,,,The Speech Pathology Group & Rehab Services of CT,Speech pathologist,,
Alabama Pediatric Therapy Services,"3803 Rainbow Dr, Rainbow City, AL 35906",(256) 459-5051,https://alpediatrictherapy.com/,,256) 459-5051,Pediatric clinic,"3803 Rainbow Dr, Rainbow City, AL 35906",3803 Rainbow Dr,Rainbow City,AL,35906,33.950578,-86.048178,🆕 Newly geocoded,,,,,,Alabama Pediatric Therapy Services,Pediatric clinic,,
Speech Therapy For All PC,"524 E Main St #200, Riverhead, NY 11901",(631) 538-0579,http://www.speechtherapyforall.com/,,631) 538-0579,Medical clinic,"524 E Main St #200, Riverhead, NY 11901",524 E Main St #200,Riverhead,NY,11901,40.919829,-72.656058,🆕 Newly geocoded,,,,,,Speech Therapy For All PC,Medical clinic,,
"Therapy for Language and Communication, LLC","300 Church St STE 102, Wallingford, CT 06492",(203) 410-0974,http://www.tlcspeechct.com/,,203) 410-0974,Speech pathologist,"300 Church St STE 102, Wallingford, CT 06492",300 Church St STE 102,Wallingford,CT,06492,41.49184,-72.81892,🆕 Newly geocoded,,,,,,"Therapy for Language and Communication, LLC",Speech pathologist,,
Shoreline Speech and Language Center LLC,"142 Boston Post Rd, Madison, CT 06443",(203) 533-9070,http://www.shorelinespeechcenter.com/,,203) 533-9070,Speech pathologist,"142 Boston Post Rd, Madison, CT 06443",142 Boston Post Rd,Madison,CT,06443,41.2835,-72.63502,🆕 Newly geocoded,,,,,,Shoreline Speech and Language Center LLC,Speech pathologist,,
Steel City Speech,"438 Carr Ave Suite 6, Homewood, AL 35209",(205) 201-0413,https://www.steelcityspeech.com/,,205) 201-0413,Speech pathologist,"438 Carr Ave Suite 6, Homewood, AL 35209",438 Carr Ave Suite 6,Homewood,AL,35209,33.462513,-86.817204,🆕 Newly geocoded,,,,,,Steel City Speech,Speech pathologist,,
Everyday Milestones,"765 Post Rd, Fairfield, CT 06824",(203) 200-0145,http://www.edmilestones.com/,,203) 200-0145,Speech pathologist,"765 Post Rd, Fairfield, CT 06824",765 Post Rd,Fairfield,CT,06824,41.147373,-73.248267,🆕 Newly geocoded,,,,,,Everyday Milestones,Speech pathologist,,
"First Start Speech Language Pathology, LLC","1078 Main St Unit 1, Branford, CT 06405","First Start Speech Language Pathology, LLC",https://firststartslp.com/,,,Speech pathologist,"1078 Main St Unit 1, Branford, CT 06405",1078 Main St Unit 1,Branford,CT,06405,41.282537,-72.810646,🆕 Newly geocoded,,,,,,"First Start Speech Language Pathology, LLC",Speech pathologist,,
The Speech Treehouse,"278 Steiner St, Fairfield, CT 06825",(203) 240-2504,https://thespeechtreehousenyct.com/,,203) 240-2504,Speech pathologist,"278 Steiner St, Fairfield, CT 06825",278 Steiner St,Fairfield,CT,06825,41.18719,-73.25553,🆕 Newly geocoded,,,,,,The Speech Treehouse,Speech pathologist,,
"SNH Speech Therapy & Learning Center, LLC","1 Trafalgar Square #204, Nashua, NH 03063",(603) 577-5517,http://www.snhtlc.com/,,603) 577-5517,Speech pathologist,"1 Trafalgar Square #204, Nashua, NH 03063",1 Trafalgar Square #204,Nashua,NH,03063,42.787127,-71.506788,🆕 Newly geocoded,,,,,,"SNH Speech Therapy & Learning Center, LLC",Speech pathologist,,
Back Bay Speech & Occupational Therapy,"529 Main St, Charlestown, MA 02129",(617) 829-3003,http://backbayspeechtherapy.com/,,617) 829-3003,Speech pathologist,"529 Main St, Charlestown, MA 02129",529 Main St,Charlestown,MA,02129,42.384789,-71.070547,🆕 Newly geocoded,,,,,,Back Bay Speech & Occupational Therapy,Speech pathologist,,
"Speech Matters, LLC","11 Chestnut St #7, Andover, MA 01810",(978) 296-4486,http://www.speechmattersma.com/,,978) 296-4486,Speech pathologist,"11 Chestnut St #7, Andover, MA 01810",11 Chestnut St #7,Andover,MA,01810,42.654773,-71.140457,🆕 Newly geocoded,,,,,,"Speech Matters, LLC",Speech pathologist,,
Jody Sastry Speech Therapy,"21 Marshview Cir, East Sandwich, MA 02537",(774) 413-9099,http://www.jodysastry.com/,,774) 413-9099,Speech pathologist,"21 Marshview Cir, East Sandwich, MA 02537",21 Marshview Cir,East Sandwich,MA,02537,41.746615,-70.436153,🆕 Newly geocoded,,,,,,Jody Sastry Speech Therapy,Speech pathologist,,
"Sarah Budney - Milestones Speech Therapy, LLC","26 Brighton St Suite 315, Belmont, MA 02478",(781) 696-7523,http://www.milestonesspeech.com/,,781) 696-7523,Speech pathologist,"26 Brighton St Suite 315, Belmont, MA 02478",26 Brighton St Suite 315,Belmont,MA,02478,42.395216,-71.158891,🆕 Newly geocoded,,,,,,"Sarah Budney - Milestones Speech Therapy, LLC",Speech pathologist,,
Sunshine Speech Therapy LLC,"310 Maple Ave Suite L06C, Barrington, RI 02806",(401) 595-2150,https://thesunshinespeechie.com/&opi=79508299&sa=U&ved=0ahUKEwil28evyJ-RAxUEEEQIHZCMAHcQ61gIeCgN&usg=AOvVaw1Jh9PVWVwgMgjcfrmmcZXt,,401) 595-2150,Speech pathologist,"310 Maple Ave Suite L06C, Barrington, RI 02806",310 Maple Ave Suite L06C,Barrington,RI,02806,41.738644,-71.318477,🆕 Newly geocoded,,,,,,Sunshine Speech Therapy LLC,Speech pathologist,,
Big Mouth Speech,"1565 Main St Building 1, Unit 1B, Tewksbury, MA 01876",(978) 257-1564,http://www.bigmouthspeech.com/,,978) 257-1564,Speech pathologist,"1565 Main St Building 1, Unit 1B, Tewksbury, MA 01876",1565 Main St Building 1,Tewksbury,MA,01876,42.597207,-71.218221,🆕 Newly geocoded,,,,,,Big Mouth Speech,Speech pathologist,,
Competent Communicators LLC - Pediatric Speech Therapy,"1445 Wampanoag Trl #108a, Riverside, RI 02915",(401) 584-2425,https://competentcommunicators.org/&opi=79508299&sa=U&ved=0ahUKEwil28evyJ-RAxUEEEQIHZCMAHcQ61gIGigN&usg=AOvVaw2nLbGTHAYRd1uWIPckLoCn,,401) 584-2425,Speech pathologist,"1445 Wampanoag Trl #108a, Riverside, RI 02915",1445 Wampanoag Trl #108a,Riverside,RI,02915,41.775189,-71.327975,🆕 Newly geocoded,,,,,,Competent Communicators LLC - Pediatric Speech Therapy,Speech pathologist,,
Resonate Therapy Solutions LLC,"80 Sky Top Ln, Dunstable, MA 01827",(617) 372-3051,https://www.resonatetherapysolutions.com/,,617) 372-3051,Speech pathologist,"80 Sky Top Ln, Dunstable, MA 01827",80 Sky Top Ln,Dunstable,MA,01827,42.69913,-71.50652,🆕 Newly geocoded,,,,,,Resonate Therapy Solutions LLC,Speech pathologist,,
Speech Language Pathology Center,"99 Longwater Cir Ste 100, Norwell, MA 02061",(781) 792-2700,http://www.slpcenter.com/,,781) 792-2700,Speech pathologist,"99 Longwater Cir Ste 100, Norwell, MA 02061",99 Longwater Cir Ste 100,Norwell,MA,02061,42.155556,-70.882593,🆕 Newly geocoded,,,,,,Speech Language Pathology Center,Speech pathologist,,
Let's Talk Speech & Occupational Therapy Services,"120 W Center St Units 2, 3, & 4, West Bridgewater, MA 02379",(508) 230-8181,https://www.ltspeech.com/,,508) 230-8181,Speech pathologist,"120 W Center St Units 2, 3, & 4, West Bridgewater, MA 02379",120 W Center St Units 2,West Bridgewater,MA,02379,42.017562,-71.014836,🆕 Newly geocoded,,,,,,Let's Talk Speech & Occupational Therapy Services,Speech pathologist,,
Saint Vincent Speech Therapy,"123 Summer St, Worcester, MA 01608",(508) 363-6205,https://www.stvincenthospital.com/services/physical-therapy/speech-language-pathology,,508) 363-6205,Speech pathologist,"123 Summer St, Worcester, MA 01608",123 Summer St,Worcester,MA,01608,42.265294,-71.796855,🆕 Newly geocoded,,,,,,Saint Vincent Speech Therapy,Speech pathologist,,
Jackson Speech & Language Services,"16 Chestnut St Suite 102, Foxborough, MA 02035",(508) 698-7973,http://www.jacksonspeech.com/,,508) 698-7973,Speech pathologist,"16 Chestnut St Suite 102, Foxborough, MA 02035",16 Chestnut St Suite 102,Foxborough,MA,02035,42.076212,-71.25594,🆕 Newly geocoded,,,,,,Jackson Speech & Language Services,Speech pathologist,,
"Results Speech and Language Therapy, PLLC","51 U.S. Rte 1, Scarborough, ME 04074",(207) 400-5368,https://resultsspeechtherapy.com/,,207) 400-5368,Speech pathologist,"51 U.S. Rte 1, Scarborough, ME 04074",51 U.S. Rte 1,Scarborough,ME,04074,43.608226,-70.314711,🆕 Newly geocoded,,,,,,"Results Speech and Language Therapy, PLLC",Speech pathologist,,
Merrimack Valley Speech,"1 Meeting House Rd #7, Chelmsford, MA 01824",(978) 254-3342,https://www.merrimackvalleyspeech.com/,,978) 254-3342,Speech pathologist,"1 Meeting House Rd #7, Chelmsford, MA 01824",1 Meeting House Rd #7,Chelmsford,MA,01824,42.601441,-71.350101,🆕 Newly geocoded,,,,,,Merrimack Valley Speech,Speech pathologist,,
Little Garden Speech & Language Therapy Services LLC.,"820b Taunton Ave, Seekonk, MA 02771",(508) 639-5043,https://www.littlegardenspeechtherapy.org/,,508) 639-5043,Speech pathologist,"820b Taunton Ave, Seekonk, MA 02771",820b Taunton Ave,Seekonk,MA,02771,41.830582,-71.311736,🆕 Newly geocoded,,,,,,Little Garden Speech & Language Therapy Services LLC.,Speech pathologist,,
Achieve Speech & Language Services,"7 Beeches Ln Unit #10, Woodstock, CT 06281",(860) 821-0629,http://www.achievectslp.com/,,860) 821-0629,Speech pathologist,"7 Beeches Ln Unit #10, Woodstock, CT 06281",7 Beeches Ln Unit #10,Woodstock,CT,06281,41.931754,-71.933618,🆕 Newly geocoded,,,,,,Achieve Speech & Language Services,Speech pathologist,,
"Ellen Gellineau, MS, CCC-SLP","101 Metropolitan Ave, Ashland, MA 01721",(617) 320-0552,http://ellengspeechtherapy.com/,,617) 320-0552,Speech pathologist,"101 Metropolitan Ave, Ashland, MA 01721",101 Metropolitan Ave,Ashland,MA,01721,42.24932,-71.464045,🆕 Newly geocoded,,,,,,"Ellen Gellineau, MS, CCC-SLP",Speech pathologist,,
Speech & Language Therapy Center,"34 Grafton St, Millbury, MA 01527",(508) 499-2178,https://speechandlanguagetherapycenter.org/,,508) 499-2178,Speech pathologist,"34 Grafton St, Millbury, MA 01527",34 Grafton St,Millbury,MA,01527,42.192532,-71.746633,🆕 Newly geocoded,,,,,,Speech & Language Therapy Center,Speech pathologist,,
Clarity Speech Therapy,"14 Dudley St, Cambridge, MA 02140",(617) 335-9002,http://www.clarityspeechma.com/,,617) 335-9002,Speech pathologist,"14 Dudley St, Cambridge, MA 02140",14 Dudley St,Cambridge,MA,02140,42.396175,-71.129717,🆕 Newly geocoded,,,,,,Clarity Speech Therapy,Speech pathologist,,
Angel Speech & Therapy Services.inc,"5470 W 16th Ave, Hialeah, FL 33012",(305) 456-2646,http://angeltherapyinc.com/,,305) 456-2646,Speech pathologist,"5470 W 16th Ave, Hialeah, FL 33012",5470 W 16th Ave,Hialeah,FL,33012,25.871592,-80.315041,🆕 Newly geocoded,,,,,,Angel Speech & Therapy Services.inc,Speech pathologist,,
Speech Therapy Bio Networks Inc.,"1441 SW 1st St, Miami, FL 33135",(305) 541-3400,http://www.therapymiami.org/,,305) 541-3400,Speech pathologist,"1441 SW 1st St, Miami, FL 33135",1441 SW 1st St,Miami,FL,33135,25.772565,-80.218903,🆕 Newly geocoded,,,,,,Speech Therapy Bio Networks Inc.,Speech pathologist,,
Speech and Language Connection Services LLC,"10550 NW 77th Ct #224, Hialeah Gardens, FL 33016",(305) 456-8031,http://www.speechtherapy305.com/,,305) 456-8031,Speech pathologist,"10550 NW 77th Ct #224, Hialeah Gardens, FL 33016",10550 NW 77th Ct #224,Hialeah Gardens,FL,10550,25.869123,-80.325138,🆕 Newly geocoded,,,,,,Speech and Language Connection Services LLC,Speech pathologist,,
